Canale,Start_Time(s),End_Time(s)
EEGFp1,114.46875,115.078125
EEGFp1,423.625,424.3359375
EEGFp1,462.1171875,462.828125
EEGFp1,464.9609375,465.671875
EEGFp1,488.421875,489.1328125
EEGFp1,490.7578125,491.3671875
EEGFp1,537.4765625,538.1875
EEGFp1,848.8671875,849.578125
EEGFp1,866.03125,866.7421875
EEGFp1,883.1953125,883.8046875
EEGFp1,908.7890625,909.6015625
EEGFp1,942.8125,943.421875
EEGFp1,1004.765625,1005.578125
EEGFp1,1147.8671875,1148.578125
EEGFp1,1218.7578125,1219.3671875
EEGFp1,1264.2578125,1264.8671875
EEGFp1,1616.578125,1619.1171875
EEGFp1,1672.5390625,1673.25
EEGFp1,1757.6484375,1758.2578125
EEGFp1,2187.5625,2188.6796875
EEGFp1,2254.0859375,2255.3046875
EEGFp1,2257.03125,2258.3515625
EEGFp1,2267.2890625,2268.1015625
EEGFp1,2275.8203125,2276.6328125
EEGFp1,2283.3359375,2284.046875
EEGFp1,2421.4609375,2422.4765625
EEGFp1,2585.484375,2586.1953125
EEGFp1,2593.9140625,2594.5234375
EEGFp1,2610.1640625,2610.7734375
EEGFp1,2631.59375,2632.3046875
EEGFp1,2779.1640625,2779.7734375
EEGFp1,2930.2890625,2931.1015625
EEGFp1,3001.9921875,3002.6015625
EEGFp1,3034.390625,3036.5234375
EEGFp1,3051.046875,3051.7578125
EEGFp1,3284.4375,3285.046875
EEGFp1,3334.8125,3335.421875
EEGFp1,3390.0625,3390.671875
EEGFp1,3486.8515625,3487.4609375
EEGFp1,3518.84375,3521.5859375
EEGFp1,3523.0078125,3523.8203125
EEGFp1,3627.109375,3627.8203125
EEGFp1,3691.3984375,3692.6171875
EEGFp1,3712.21875,3713.234375
EEGFp1,3733.6484375,3734.765625
EEGFp1,3780.875,3781.890625
EEGFp1,3842.828125,3843.4375
EEGFp1,3868.7265625,3869.4375
EEGFp1,3935.1484375,3935.7578125
EEGFp1,3963.1796875,3963.7890625
EEGFp1,3983.0859375,3983.8984375
EEGFp1,3987.25,3987.859375
EEGFp1,4081.09375,4081.8046875
EEGFp1,4143.65625,4144.265625
EEGFp1,4196.3671875,4196.9765625
EEGFp1,4252.53125,4253.4453125
EEGFp1,4256.59375,4257.40625
EEGFp1,4288.7890625,4289.5
EEGFp1,4372.984375,4373.6953125
EEGFp1,4390.5546875,4391.1640625
EEGFp1,4739.828125,4740.4375
EEGFp1,4922.1328125,4922.84375
EEGFp1,4963.0625,4963.671875
EEGFp1,5270.4921875,5272.1171875
EEGFp1,5412.578125,5413.796875
EEGFp1,5419.890625,5420.5
EEGFp1,5454.625,5455.4375
EEGFp1,5465.4921875,5466.203125
EEGFp1,5504.1875,5504.8984375
EEGFp2,282.453125,283.265625
EEGFp2,474.7109375,475.421875
EEGFp2,488.421875,489.03125
EEGFp2,534.6328125,535.2421875
EEGFp2,598.515625,599.2265625
EEGFp2,1205.7578125,1206.5703125
EEGFp2,1241,1241.7109375
EEGFp2,1330.8828125,1331.4921875
EEGFp2,1406.0390625,1407.15625
EEGFp2,1486.8828125,1487.8984375
EEGFp2,1553.5078125,1554.21875
EEGFp2,1617.2890625,1619.9296875
EEGFp2,2104.9921875,2105.6015625
EEGFp2,2294.203125,2294.9140625
EEGFp2,2329.6484375,2330.2578125
EEGFp2,2365.703125,2366.515625
EEGFp2,2599.703125,2600.515625
EEGFp2,2602.953125,2603.5625
EEGFp2,2610.0625,2610.7734375
EEGFp2,2679.53125,2680.4453125
EEGFp2,2730.515625,2731.2265625
EEGFp2,2803.7421875,2804.7578125
