Canale,Start_Time(s),End_Time(s)
EEGFp1,18.0859375,18.6953125
EEGFp1,24.890625,25.703125
EEGFp1,66.6328125,69.375
EEGFp1,70.59375,71.5078125
EEGFp1,74.3515625,75.46875
EEGFp1,80.0390625,82.78125
EEGFp1,83.796875,85.21875
EEGFp1,86.84375,87.5546875
EEGFp1,98.3203125,98.9296875
EEGFp1,110.5078125,111.1171875
EEGFp1,122.2890625,122.8984375
EEGFp1,147.375,148.0859375
EEGFp1,154.1796875,154.7890625
EEGFp1,155.703125,156.3125
EEGFp1,164.640625,165.453125
EEGFp1,174.4921875,175.203125
EEGFp1,184.34375,185.0546875
EEGFp1,193.9921875,195.4140625
EEGFp1,200.0859375,201.203125
EEGFp1,203.84375,204.453125
EEGFp1,222.734375,223.6484375
EEGFp1,227.203125,227.8125
EEGFp1,240.3046875,244.671875
EEGFp1,247.4140625,248.0234375
EEGFp1,251.0703125,253.1015625
EEGFp1,254.828125,256.1484375
EEGFp1,261.125,261.8359375
EEGFp1,269.65625,270.265625
EEGFp1,271.484375,274.8359375
EEGFp1,283.671875,285.09375
EEGFp1,286.6171875,288.6484375
EEGFp1,298.703125,299.515625
EEGFp1,316.984375,318
EEGFp1,319.3203125,320.03125
EEGFp1,327.140625,327.75
EEGFp1,329.2734375,330.6953125
EEGFp1,341.6640625,342.4765625
EEGFp1,344.609375,345.3203125
EEGFp1,372.640625,373.25
EEGFp1,375.890625,376.5
EEGFp1,380.2578125,380.8671875
EEGFp1,403.921875,404.53125
EEGFp1,407.171875,407.78125
EEGFp1,421.796875,422.5078125
EEGFp1,440.3828125,441.09375
EEGFp1,442.3125,443.125
EEGFp1,454.3984375,455.2109375
EEGFp1,459.4765625,460.0859375
EEGFp1,463.7421875,464.5546875
EEGFp1,465.7734375,467.703125
EEGFp1,481.515625,482.2265625
EEGFp1,493.09375,494.6171875
EEGFp1,529.453125,531.3828125
EEGFp1,535.0390625,535.6484375
EEGFp1,537.0703125,538.4921875
