Canale,Start_Time(s),End_Time(s)
EEGFp1,11.890625,16.8671875
EEGFp1,19.40625,22.859375
EEGFp1,28.6484375,29.4609375
EEGFp1,40.125,40.734375
EEGFp1,41.6484375,42.6640625
EEGFp1,46.9296875,47.9453125
EEGFp1,49.46875,50.1796875
EEGFp1,51.6015625,52.6171875
EEGFp1,54.2421875,54.953125
EEGFp1,57.6953125,61.5546875
EEGFp1,63.9921875,65.6171875
EEGFp1,68.0546875,68.96875
EEGFp1,71,71.609375
EEGFp1,72.625,73.5390625
EEGFp1,76.7890625,78.109375
EEGFp1,81.8671875,85.3203125
EEGFp1,86.3359375,87.1484375
EEGFp1,103.296875,104.0078125
EEGFp1,105.2265625,107.2578125
EEGFp1,108.2734375,110
EEGFp1,112.4375,114.9765625
EEGFp1,117.921875,120.15625
EEGFp1,121.171875,121.78125
EEGFp1,123.7109375,126.1484375
EEGFp1,128.1796875,128.7890625
EEGFp1,132.4453125,134.4765625
EEGFp1,140.1640625,141.28125
EEGFp1,143.2109375,146.359375
EEGFp1,147.6796875,152.9609375
EEGFp1,155.6015625,162.8125
EEGFp1,163.828125,169.8203125
EEGFp1,171.0390625,172.6640625
EEGFp1,178.859375,180.1796875
EEGFp1,181.90625,182.8203125
EEGFp1,184.6484375,186.2734375
EEGFp1,189.015625,190.1328125
EEGFp1,191.65625,192.3671875
EEGFp1,195.0078125,199.0703125
EEGFp1,202.5234375,203.84375
EEGFp1,205.9765625,207.6015625
EEGFp1,208.921875,209.6328125
EEGFp1,210.953125,211.5625
EEGFp1,213.4921875,216.1328125
EEGFp1,217.9609375,218.5703125
EEGFp1,222.4296875,223.0390625
EEGFp1,224.8671875,225.8828125
EEGFp1,229.640625,231.3671875
EEGFp1,235.53125,240
EEGFp1,241.3203125,242.234375
EEGFp1,243.65625,245.484375
EEGFp1,246.6015625,254.828125
EEGFp1,255.7421875,257.3671875
EEGFp1,258.28125,260.0078125
EEGFp1,261.125,263.5625
EEGFp1,264.6796875,267.5234375
EEGFp1,269.046875,274.2265625
EEGFp1,275.2421875,277.375
EEGFp1,282.5546875,283.3671875
EEGFp1,285.1953125,287.53125
EEGFp1,289.96875,292.1015625
EEGFp1,294.1328125,296.9765625
EEGFp1,298.703125,299.71875
EEGFp1,302.2578125,310.078125
EEGFp1,313.734375,314.75
EEGFp1,316.578125,319.21875
EEGFp1,321.5546875,322.265625
EEGFp1,327.8515625,329.0703125
