Canale,durata(s)
EEGFp2,0.8125
EEGFp2,0.609375
EEGFp2,0.8125
EEGFp2,0.9140625
EEGFp2,1.21875
EEGFp2,0.609375
EEGFp2,4.1640625
EEGFp2,0.9140625
EEGFp2,1.5234375
EEGFp2,0.609375
EEGFp2,1.015625
EEGFp2,1.9296875
EEGFp2,0.9140625
EEGFp2,1.7265625
EEGFp2,0.609375
EEGFp2,3.3515625
EEGFp2,0.9140625
EEGFp2,0.8125
EEGFp2,4.875
EEGFp2,1.1171875
EEGFp2,4.46875
EEGFp2,2.4375
EEGFp2,1.21875
EEGFp2,0.609375
EEGFp2,0.8125
EEGFp2,2.03125
EEGFp2,1.9296875
EEGFp2,3.859375
EEGFp2,0.8125
EEGFp2,1.421875
EEGFp2,3.1484375
EEGFp2,0.9140625
EEGFp2,2.7421875
EEGFp2,1.1171875
EEGFp2,0.8125
EEGFp2,0.609375
EEGFp2,1.3203125
EEGFp2,1.625
EEGFp2,0.7109375
EEGFp2,2.640625
EEGFp2,3.046875
EEGFp2,0.8125
EEGFp2,2.640625
EEGFp2,0.8125
EEGFp2,2.234375
EEGFp2,0.609375
EEGFp2,2.1328125
EEGFp2,2.4375
EEGFp2,1.1171875
EEGFp2,0.609375
EEGFp2,0.609375
EEGFp2,0.7109375
EEGFp2,0.7109375
EEGFp2,0.609375
EEGFp2,0.609375
EEGFp2,0.7109375
EEGFp2,0.8125
EEGFp2,0.609375
EEGFp2,0.7109375
EEGFp2,0.609375
EEGFp2,0.9140625
EEGFp2,0.9140625
EEGFp2,0.8125
EEGFp2,0.8125
EEGFp2,0.609375
EEGFp2,2.7421875
EEGFp2,0.8125
EEGFp2,1.421875
EEGFp2,0.609375
EEGFp2,0.7109375
EEGFp2,0.8125
EEGFp2,1.1171875
EEGFp2,0.7109375
EEGFp2,0.7109375
EEGFp2,1.3203125
EEGFp2,0.8125
EEGFp2,1.015625
EEGFp2,0.9140625
EEGFp2,0.609375
EEGFp2,0.9140625
EEGFp2,0.9140625
EEGFp2,0.609375
EEGFp2,0.609375
EEGFp2,0.609375
EEGFp2,0.7109375
EEGFp2,1.21875
EEGFp2,1.5234375
EEGFp2,1.015625
EEGFp2,1.5234375
EEGFp2,0.609375
EEGFp2,1.21875
EEGFp2,0.7109375
EEGFp2,0.8125
EEGFp2,0.7109375
EEGFp2,0.7109375
EEGFp2,0.609375
EEGFp2,0.7109375
EEGFp2,0.609375
EEGFp2,0.8125
EEGFp2,0.9140625
EEGFp2,0.7109375
EEGFp2,0.7109375
EEGFp2,0.609375
EEGFp2,1.5234375
EEGFp2,1.3203125
EEGFp2,2.3359375
EEGFp2,2.4375
EEGFp2,0.8125
EEGFp2,1.828125
EEGFp2,1.5234375
EEGFp2,1.21875
EEGFp2,0.9140625
EEGFp2,9.546875
EEGFp2,7.921875
EEGFp2,3.25
EEGFp2,6.3984375
EEGFp2,1.3203125
EEGFp2,12.0859375
EEGFp2,2.7421875
EEGFp2,6.296875
EEGFp2,4.875
EEGFp2,1.1171875
EEGFp2,3.5546875
EEGFp2,1.5234375
EEGFp2,2.234375
EEGFp2,3.046875
EEGFp2,0.609375
EEGFp2,1.421875
EEGFp2,4.265625
EEGFp2,3.65625
EEGFp2,1.21875
EEGFp2,0.7109375
EEGFp2,0.7109375
EEGFp2,1.1171875
EEGFp2,0.609375
EEGFp2,2.4375
EEGFp2,1.3203125
EEGFp2,0.8125
EEGFp2,3.046875
EEGFp2,1.015625
EEGFp2,0.7109375
EEGFp2,4.5703125
EEGFp2,0.7109375
EEGFp2,5.7890625
EEGFp2,2.640625
EEGFp2,0.609375
EEGFp2,0.7109375
EEGFp2,6.6015625
EEGFp2,0.8125
EEGFp2,13
EEGFp2,2.03125
EEGFp2,1.7265625
EEGFp2,1.3203125
EEGFp2,3.25
EEGFp2,3.7578125
EEGFp2,3.1484375
EEGFp2,3.7578125
EEGFp2,5.28125
EEGFp2,4.7734375
EEGFp2,0.7109375
EEGFp2,0.8125
EEGFp2,0.8125
EEGFp2,0.8125
EEGFp2,1.421875
EEGFp2,4.265625
EEGFp2,0.9140625
EEGFp2,5.3828125
EEGFp2,1.9296875
EEGFp2,2.4375
EEGFp2,10.0546875
EEGFp2,2.5390625
EEGFp2,1.625
EEGFp2,0.7109375
EEGFp2,4.1640625
EEGFp2,14.7265625
EEGFp2,3.9609375
EEGFp2,5.3828125
EEGFp2,1.5234375
EEGFp2,4.1640625
EEGFp2,4.265625
EEGFp2,0.9140625
EEGFp2,2.84375
EEGFp2,0.9140625
EEGFp2,0.7109375
EEGFp2,5.28125
EEGFp2,1.1171875
EEGFp2,2.7421875
EEGFp2,1.7265625
EEGF7,4.9765625
EEGF7,4.5703125
EEGF7,0.8125
EEGF7,1.3203125
EEGF7,0.7109375
EEGF7,1.1171875
EEGF7,1.015625
EEGF7,0.609375
EEGF7,4.7734375
