Canale,isi_min(s)
EEGFp1,0.9140625
EEGFp1,0.9140625
EEGFp1,1.828125
EEGFp1,2.234375
EEGFp1,2.3359375
EEGFp1,2.3359375
EEGFp1,2.640625
EEGFp1,2.640625
EEGFp1,2.9453125
EEGFp1,3.3515625
EEGFp1,3.65625
EEGFp1,3.7578125
EEGFp1,3.7578125
EEGFp2,1.015625
EEGFp2,1.3203125
EEGFp2,1.7265625
EEGFp2,2.3359375
EEGFp2,2.640625
EEGFp2,2.7421875
EEGFp2,2.84375
EEGFp2,2.84375
EEGFp2,2.84375
EEGFp2,2.84375
EEGFp2,2.9453125
EEGFp2,3.25
EEGFp2,3.65625
EEGFp2,3.65625
EEGF7,2.03125
EEGF7,2.7421875
EEGF7,3.453125
EEGF7,4.265625
EEGF7,4.3671875
EEGF7,4.46875
EEGF7,4.5703125
EEGF7,5.1796875
EEGF3,0.9140625
EEGF3,1.1171875
EEGF3,1.1171875
EEGF3,1.5234375
EEGF3,1.828125
EEGF3,1.828125
EEGF3,1.9296875
EEGF3,1.9296875
EEGF3,2.3359375
EEGF3,2.3359375
EEGF3,2.4375
EEGF3,2.4375
EEGF3,2.5390625
EEGF3,2.640625
EEGF3,2.640625
EEGF3,2.640625
EEGF3,2.640625
EEGF3,2.7421875
EEGF3,2.7421875
EEGF3,2.84375
EEGF3,2.9453125
EEGF3,3.046875
EEGFz,1.21875
EEGFz,1.421875
EEGFz,1.421875
EEGFz,1.7265625
EEGFz,1.828125
EEGFz,2.234375
EEGFz,2.3359375
EEGFz,2.3359375
EEGFz,2.640625
EEGFz,2.7421875
EEGFz,2.84375
EEGFz,2.84375
EEGFz,3.046875
EEGFz,3.046875
EEGFz,3.1484375
EEGFz,3.1484375
EEGF4,0.9140625
EEGF4,1.21875
EEGF4,1.828125
EEGF4,1.828125
EEGF4,2.1328125
EEGF4,2.1328125
EEGF4,2.4375
EEGF4,2.4375
EEGF4,2.4375
EEGF4,2.640625
EEGF4,2.640625
EEGF4,2.7421875
EEGF4,2.7421875
EEGF4,2.84375
EEGF4,2.84375
EEGF4,2.9453125
EEGF4,2.9453125
EEGF4,2.9453125
EEGF4,3.046875
EEGF4,3.046875
EEGF4,3.046875
EEGF8,1.015625
EEGF8,2.5390625
EEGF8,2.5390625
EEGF8,2.9453125
EEGF8,2.9453125
EEGF8,3.1484375
EEGF8,3.859375
EEGF8,4.265625
EEGF8,4.3671875
EEGF8,4.5703125
EEGF8,4.5703125
EEGT3,1.21875
EEGT3,3.1484375
EEGT3,5.1796875
EEGC3,0.9140625
EEGC3,1.015625
EEGC3,1.421875
EEGC3,1.625
EEGC3,1.625
EEGC3,1.9296875
EEGC3,2.1328125
EEGC3,2.234375
EEGCz,1.625
EEGCz,2.3359375
EEGCz,2.4375
EEGCz,2.640625
EEGCz,3.1484375
EEGCz,3.25
EEGCz,3.3515625
EEGCz,3.3515625
EEGC4,0.9140625
EEGC4,0.9140625
EEGC4,0.9140625
EEGC4,1.015625
EEGC4,1.015625
EEGC4,1.3203125
EEGC4,1.3203125
EEGC4,1.421875
EEGC4,1.5234375
EEGC4,1.625
EEGC4,1.9296875
EEGC4,1.9296875
EEGC4,2.1328125
EEGC4,2.1328125
EEGT4,1.421875
EEGT4,2.7421875
EEGT4,3.25
EEGT4,5.5859375
EEGT5,0.9140625
EEGT5,1.3203125
EEGT5,1.3203125
EEGT5,1.421875
EEGT5,1.625
EEGT5,2.03125
EEGT5,2.3359375
EEGP3,0.9140625
EEGP3,1.015625
EEGP3,1.1171875
EEGP3,1.21875
EEGP3,1.21875
EEGP3,1.421875
EEGP3,1.5234375
EEGPz,1.7265625
EEGPz,1.9296875
EEGPz,1.9296875
EEGPz,2.234375
EEGPz,2.84375
EEGPz,3.5546875
EEGPz,3.65625
EEGPz,4.1640625
EEGPz,4.5703125
EEGP4,0.9140625
EEGP4,1.5234375
EEGP4,1.9296875
EEGP4,4.671875
EEGP4,4.671875
EEGT6,1.1171875
EEGT6,1.3203125
EEGT6,4.1640625
EEGO1,1.21875
EEGO1,1.3203125
EEGO1,1.7265625
EEGO1,1.7265625
EEGO1,2.1328125
EEGO2,1.3203125
EEGO2,1.828125
EEGO2,3.859375
EEGO2,4.5703125
