Canale,isi_min(s)
EEGFp1,1.7265625
EEGFp1,3.3515625
EEGFp2,3.3515625
EEGFp2,3.453125
EEGFp2,3.453125
EEGF7,1.015625
EEGF7,1.1171875
EEGF7,1.421875
EEGF3,1.421875
EEGF3,3.25
EEGF3,3.3515625
EEGFz,0.9140625
EEGF4,0.9140625
EEGF4,3.25
EEGF4,3.65625
EEGF8,1.1171875
EEGF8,1.421875
EEGF8,1.828125
EEGT3,1.3203125
EEGC3,1.5234375
EEGC3,1.9296875
EEGCz,0.9140625
EEGCz,1.3203125
EEGCz,1.625
EEGCz,1.9296875
EEGC4,0.9140625
EEGC4,1.1171875
EEGT4,1.5234375
EEGT5,0.9140625
EEGT5,1.1171875
EEGT5,2.03125
EEGP3,1.1171875
EEGP3,2.1328125
EEGPz,1.015625
EEGPz,1.3203125
EEGPz,2.234375
EEGP4,1.1171875
EEGP4,1.625
EEGP4,1.625
EEGP4,1.7265625
EEGT6,1.015625
EEGT6,1.1171875
EEGT6,1.3203125
EEGT6,2.03125
EEGO1,0.9140625
EEGO1,0.9140625
EEGO1,0.9140625
EEGO1,0.9140625
EEGO1,1.015625
EEGO1,1.1171875
EEGO1,1.1171875
EEGO1,1.1171875
EEGO1,1.1171875
EEGO1,1.3203125
EEGO1,1.3203125
EEGO1,1.3203125
EEGO2,0.9140625
EEGO2,0.9140625
EEGO2,0.9140625
EEGO2,0.9140625
EEGO2,0.9140625
EEGO2,1.015625
EEGO2,1.015625
EEGO2,1.015625
EEGO2,1.21875
EEGO2,1.3203125
EEGO2,1.3203125
