Canale,isi_min(s)
EEGFp1,1.9296875
EEGFp1,2.5390625
EEGFp1,2.5390625
EEGFp1,2.640625
EEGFp1,3.1484375
EEGFp1,3.25
EEGFp1,3.3515625
EEGFp1,3.7578125
EEGFp1,3.859375
EEGFp1,4.0625
EEGFp1,4.46875
EEGFp2,1.21875
EEGFp2,1.625
EEGFp2,1.828125
EEGFp2,2.03125
EEGFp2,2.3359375
EEGFp2,2.640625
EEGFp2,2.640625
EEGFp2,2.9453125
EEGFp2,2.9453125
EEGFp2,3.25
EEGFp2,3.3515625
EEGFp2,3.5546875
EEGF7,1.3203125
EEGF3,1.3203125
EEGF3,1.7265625
EEGF3,2.3359375
EEGF3,3.25
EEGF3,3.25
EEGF3,3.7578125
EEGFz,0.9140625
EEGFz,1.625
EEGFz,2.1328125
EEGFz,2.4375
EEGFz,2.5390625
EEGFz,2.7421875
EEGFz,2.84375
EEGFz,2.9453125
EEGFz,3.1484375
EEGFz,3.3515625
EEGFz,3.3515625
EEGF4,1.21875
EEGF4,1.421875
EEGF4,1.828125
EEGF4,1.9296875
EEGF4,2.4375
EEGF4,2.5390625
EEGF4,2.5390625
EEGF4,2.7421875
EEGF4,2.7421875
EEGF8,1.828125
EEGF8,2.640625
EEGF8,3.65625
EEGF8,5.484375
EEGT3,1.421875
EEGT3,1.7265625
EEGT3,1.7265625
EEGT3,4.46875
EEGC3,0.9140625
EEGC3,1.1171875
EEGC3,1.5234375
EEGC3,1.625
EEGC3,1.625
EEGC3,2.03125
EEGC3,2.03125
EEGCz,1.015625
EEGCz,1.21875
EEGCz,1.9296875
EEGCz,2.4375
EEGCz,2.9453125
EEGC4,1.5234375
EEGC4,2.03125
EEGC4,2.5390625
EEGC4,2.84375
EEGC4,3.1484375
EEGT4,4.46875
EEGT4,4.46875
EEGT4,4.5703125
EEGT5,0.9140625
EEGT5,0.9140625
EEGT5,0.9140625
EEGT5,0.9140625
EEGT5,0.9140625
EEGT5,0.9140625
EEGT5,1.015625
EEGT5,1.015625
EEGT5,1.015625
EEGT5,1.015625
EEGT5,1.1171875
EEGT5,1.1171875
EEGT5,1.1171875
EEGT5,1.1171875
EEGP3,0.9140625
EEGP3,0.9140625
EEGP3,0.9140625
EEGP3,0.9140625
EEGP3,1.015625
EEGP3,1.015625
EEGP3,1.015625
EEGP3,1.1171875
EEGP3,1.1171875
EEGP3,1.1171875
EEGP3,1.1171875
EEGP3,1.1171875
EEGPz,0.9140625
EEGPz,0.9140625
EEGPz,0.9140625
EEGPz,0.9140625
EEGPz,1.015625
EEGPz,1.015625
EEGPz,1.015625
EEGPz,1.1171875
EEGPz,1.1171875
EEGPz,1.1171875
EEGPz,1.21875
EEGPz,1.21875
EEGP4,1.015625
EEGP4,1.1171875
EEGP4,1.1171875
EEGP4,1.1171875
EEGP4,1.1171875
EEGP4,1.3203125
EEGP4,1.3203125
EEGP4,1.3203125
EEGP4,1.5234375
EEGT6,1.21875
EEGT6,1.421875
EEGT6,1.7265625
EEGT6,1.7265625
EEGT6,1.9296875
EEGT6,1.9296875
EEGT6,2.234375
EEGO1,0.9140625
EEGO1,0.9140625
EEGO1,1.015625
EEGO1,1.1171875
EEGO1,1.21875
EEGO1,1.3203125
EEGO1,1.3203125
EEGO1,1.3203125
EEGO2,0.9140625
EEGO2,1.015625
EEGO2,1.1171875
EEGO2,1.21875
EEGO2,1.3203125
EEGO2,1.3203125
EEGO2,1.421875
EEGO2,1.421875
EEGO2,1.5234375
EEGO2,1.5234375
