Canale_SX,Canale_DX,Direzione,Ritardo(s)
EEGP3,EEGP4,sx_dx,0.203125
EEGP3,EEGP4,sx_dx,0.5078125
EEGP3,EEGP4,sx_dx,0
EEGP3,EEGP4,sx_dx,1.3203125
EEGP3,EEGP4,sx_dx,0.1015625
EEGP3,EEGP4,sx_dx,0.1015625
EEGP3,EEGP4,sx_dx,0.8125
EEGP3,EEGP4,sx_dx,0
EEGP3,EEGP4,sx_dx,0.9140625
EEGP3,EEGP4,sx_dx,0.203125
EEGP3,EEGP4,sx_dx,0
EEGP3,EEGP4,sx_dx,0.1015625
EEGP3,EEGP4,sx_dx,0.3046875
EEGP3,EEGP4,sx_dx,0.203125
EEGP3,EEGP4,sx_dx,0
EEGP3,EEGP4,sx_dx,1.015625
EEGP3,EEGP4,sx_dx,0
EEGP3,EEGP4,sx_dx,0.203125
EEGP3,EEGP4,sx_dx,1.9296875
EEGP3,EEGP4,sx_dx,0.1015625
EEGP3,EEGP4,sx_dx,0.203125
EEGP3,EEGP4,sx_dx,1.3203125
EEGP3,EEGP4,sx_dx,4.5703125
EEGP3,EEGP4,sx_dx,0.609375
EEGP3,EEGP4,sx_dx,0
EEGP3,EEGP4,sx_dx,0.203125
EEGP3,EEGP4,sx_dx,1.21875
EEGP3,EEGP4,sx_dx,1.421875
EEGP3,EEGP4,sx_dx,0
EEGP3,EEGP4,sx_dx,0.40625
EEGP3,EEGP4,sx_dx,0
EEGP3,EEGP4,dx_sx,0.609375
EEGP3,EEGP4,dx_sx,0.203125
EEGP3,EEGP4,dx_sx,0.203125
EEGP3,EEGP4,dx_sx,0.609375
EEGP3,EEGP4,dx_sx,0
EEGP3,EEGP4,dx_sx,0
EEGP3,EEGP4,dx_sx,0
EEGP3,EEGP4,dx_sx,0
EEGP3,EEGP4,dx_sx,0.1015625
EEGP3,EEGP4,dx_sx,0
EEGP3,EEGP4,dx_sx,0.203125
EEGP3,EEGP4,dx_sx,0.1015625
EEGP3,EEGP4,dx_sx,0.9140625
EEGP3,EEGP4,dx_sx,0
EEGP3,EEGP4,dx_sx,0.1015625
EEGP3,EEGP4,dx_sx,0
EEGP3,EEGP4,dx_sx,0.7109375
EEGP3,EEGP4,dx_sx,0.40625
EEGP3,EEGP4,dx_sx,0
EEGP3,EEGP4,dx_sx,0.3046875
EEGP3,EEGP4,dx_sx,0
EEGP3,EEGP4,dx_sx,0.609375
EEGP3,EEGP4,dx_sx,0.7109375
EEGP3,EEGP4,dx_sx,0.1015625
EEGP3,EEGP4,dx_sx,0.1015625
EEGP3,EEGP4,dx_sx,0
EEGP3,EEGP4,dx_sx,0
EEGP3,EEGP4,dx_sx,0.1015625
EEGP3,EEGP4,dx_sx,0.7109375
EEGP3,EEGP4,dx_sx,0
EEGP3,EEGP4,dx_sx,0.1015625
