Canale,Start_Time(s),End_Time(s)
EEGFp1,44.2890625,44.8984375
EEGFp1,132.953125,133.5625
EEGFp1,134.78125,135.390625
EEGFp1,176.1171875,176.828125
EEGFp1,193.7890625,194.3984375
EEGFp1,200.59375,202.015625
EEGFp1,204.65625,205.3671875
EEGFp1,208.921875,209.53125
EEGFp1,221.6171875,222.53125
EEGFp1,225.984375,226.59375
EEGFp1,230.453125,231.46875
EEGFp1,232.5859375,235.4296875
EEGFp1,267.7265625,268.3359375
EEGFp1,346.1328125,347.5546875
EEGFp1,389.1953125,390.109375
EEGFp1,396.7109375,398.3359375
EEGFp1,404.2265625,404.9375
EEGFp1,410.5234375,411.1328125
EEGFp1,414.6875,416.515625
EEGFp1,418.6484375,419.4609375
EEGFp1,420.984375,421.59375
EEGFp1,424.3359375,425.1484375
EEGFp1,430.328125,431.6484375
EEGFp1,436.7265625,437.5390625
EEGFp1,469.53125,470.34375
EEGFp1,484.6640625,485.8828125
EEGFp1,506.8046875,507.4140625
EEGFp1,514.1171875,514.7265625
EEGFp1,517.9765625,518.9921875
EEGFp1,522.4453125,524.6796875
EEGFp1,527.421875,528.7421875
EEGFp1,531.5859375,535.0390625
EEGFp1,537.171875,538.1875
EEGFp1,539.9140625,540.5234375
EEGFp1,551.4921875,553.015625
EEGFp1,580.9453125,581.5546875
EEGFp1,587.8515625,588.4609375
EEGFp1,591.7109375,593.3359375
EEGFp1,628.171875,628.78125
EEGFp1,688.6015625,689.4140625
EEGFp1,711.25,711.859375
EEGFp1,757.5625,758.375
EEGFp1,779.1953125,781.2265625
EEGFp1,805.1953125,805.8046875
EEGFp1,828.1484375,829.0625
EEGFp1,843.7890625,844.703125
EEGFp1,846.9375,847.546875
EEGFp1,855.671875,856.28125
EEGFp1,860.0390625,860.75
EEGFp1,861.765625,862.78125
EEGFp1,877.5078125,878.5234375
EEGFp1,882.484375,883.90625
EEGFp1,886.6484375,887.96875
EEGFp1,892.1328125,892.84375
EEGFp1,899.546875,901.8828125
EEGFp1,917.828125,918.4375
EEGFp1,921.078125,923.0078125
EEGFp1,928.8984375,929.5078125
EEGFp1,934.6875,935.703125
EEGFp1,938.4453125,939.15625
EEGFp1,940.2734375,941.2890625
EEGFp1,944.84375,946.265625
EEGFp1,952.765625,953.8828125
EEGFp1,957.7421875,958.859375
EEGFp1,962.8203125,963.6328125
EEGFp1,964.8515625,966.171875
EEGFp1,967.2890625,968.1015625
EEGFp1,981.9140625,982.828125
EEGFp1,986.7890625,988.2109375
EEGFp1,1013.703125,1015.9375
EEGFp1,1023.7578125,1024.671875
EEGFp1,1030.15625,1032.4921875
EEGFp1,1036.9609375,1037.671875
EEGFp1,1046.8125,1048.7421875
EEGFp1,1051.078125,1052.703125
EEGFp1,1058.2890625,1060.21875
EEGFp1,1062.9609375,1063.875
EEGFp1,1073.421875,1074.03125
EEGFp1,1080.53125,1081.8515625
EEGFp1,1083.0703125,1084.0859375
EEGFp1,1085.9140625,1086.828125
EEGFp1,1092.8203125,1093.4296875
EEGFp1,1096.375,1097.6953125
EEGFp1,1098.8125,1099.5234375
EEGFp1,1101.7578125,1104.09375
EEGFp1,1109.2734375,1111.7109375
EEGFp1,1121.15625,1122.0703125
EEGFp1,1123.59375,1124.40625
EEGFp1,1130.09375,1131.4140625
EEGFp1,1134.6640625,1135.2734375
EEGFp1,1138.5234375,1139.3359375
EEGFp1,1147.5625,1149.390625
EEGFp1,1153.5546875,1154.265625
EEGFp1,1158.2265625,1159.140625
EEGFp1,1160.4609375,1161.375
EEGFp1,1165.1328125,1165.84375
EEGFp1,1176,1176.8125
EEGFp1,1181.28125,1183.71875
EEGFp1,1185.140625,1187.984375
EEGFp1,1190.21875,1190.9296875
EEGFp1,1192.1484375,1193.671875
EEGFp1,1200.171875,1201.1875
EEGFp1,1205.859375,1207.078125
EEGFp1,1210.9375,1212.359375
EEGFp1,1217.3359375,1219.0625
EEGFp1,1226.6796875,1227.8984375
EEGFp1,1230.9453125,1235.71875
