Canale,Start_Time(s),End_Time(s)
EEGFp1,320.7421875,321.5546875
EEGFp1,438.3515625,439.265625
EEGFp1,470.140625,470.953125
EEGFp1,597.703125,598.3125
EEGFp1,625.4296875,626.4453125
EEGFp1,663.0078125,663.71875
EEGFp1,753.6015625,754.2109375
EEGFp1,793.109375,793.71875
EEGFp1,1389.5859375,1390.3984375
EEGFp1,1404.109375,1404.71875
EEGFp1,1460.8828125,1461.4921875
EEGFp1,1474.0859375,1475.203125
EEGFp1,1491.65625,1492.3671875
EEGFp1,1493.7890625,1494.90625
EEGFp1,1503.3359375,1504.25
EEGFp1,1544.9765625,1545.6875
EEGFp1,1551.6796875,1553.5078125
EEGFp1,1586.515625,1587.6328125
EEGFp1,1592.7109375,1593.7265625
EEGFp1,1769.125,1770.6484375
EEGFp1,1850.984375,1852
EEGFp1,1920.453125,1921.0625
EEGFp1,1925.6328125,1926.75
EEGFp1,1986.3671875,1987.078125
EEGFp2,235.328125,235.9375
EEGFp2,348.671875,349.28125
EEGFp2,361.46875,362.078125
EEGFp2,425.7578125,426.3671875
EEGFp2,487,487.609375
EEGFp2,495.4296875,496.0390625
EEGFp2,517.875,518.484375
EEGFp2,534.8359375,536.15625
EEGFp2,537.0703125,537.78125
EEGFp2,543.3671875,543.9765625
EEGFp2,625.53125,627.96875
EEGFp2,636.09375,636.8046875
EEGFp2,793.109375,793.71875
EEGFp2,1040.3125,1041.0234375
EEGFp2,1083.2734375,1083.984375
EEGFp2,1346.9296875,1347.84375
EEGFp2,1358.7109375,1359.3203125
EEGFp2,1437.21875,1437.9296875
EEGFp2,1442.703125,1443.71875
EEGFp2,1455.1953125,1456.2109375
EEGFp2,1473.984375,1475.203125
EEGFp2,1491.65625,1492.3671875
EEGFp2,1493.890625,1494.8046875
EEGFp2,1503.03125,1504.1484375
EEGFp2,1551.4765625,1552.6953125
EEGFp2,1556.7578125,1558.28125
EEGFp2,1571.6875,1572.296875
EEGFp2,1598.6015625,1599.71875
EEGFp2,1744.546875,1747.2890625
EEGFp2,1769.125,1770.75
EEGFp2,1825.2890625,1826.203125
EEGFp2,1834.4296875,1835.0390625
EEGFp2,1850.8828125,1851.8984375
EEGFp2,1892.1171875,1892.828125
EEGFp2,1938.4296875,1939.2421875
EEGFp2,1958.1328125,1958.9453125
EEGFp2,1986.3671875,1987.078125
EEGF7,117.6171875,118.2265625
EEGF7,235.4296875,236.0390625
EEGF7,320.84375,321.5546875
EEGF7,449.7265625,450.5390625
EEGF7,459.0703125,459.6796875
EEGF7,479.28125,479.890625
EEGF7,506.3984375,507.2109375
EEGF7,542.25,542.859375
EEGF7,547.125,547.734375
EEGF7,555.65625,556.46875
EEGF7,625.8359375,626.4453125
EEGF7,673.0625,673.671875
EEGF7,692.96875,693.578125
EEGF7,793.109375,794.125
EEGF7,1389.6875,1390.296875
EEGF7,1436.9140625,1437.5234375
EEGF7,1474.2890625,1475.1015625
EEGF7,1494.1953125,1494.8046875
EEGF7,1561.2265625,1561.9375
EEGF7,1599.2109375,1599.921875
EEGF7,1769.328125,1770.140625
EEGF7,1898.6171875,1899.328125
EEGF7,1958.4375,1959.25
EEGF7,1991.4453125,1992.15625
EEGF3,47.03125,47.7421875
EEGF3,182.3125,183.0234375
EEGF3,191.859375,192.7734375
EEGF3,222.9375,224.0546875
EEGF3,225.8828125,226.6953125
EEGF3,239.390625,240.7109375
EEGF3,261.53125,262.140625
EEGF3,320.7421875,321.5546875
EEGF3,440.1796875,440.890625
EEGF3,448.1015625,448.7109375
EEGF3,470.140625,470.953125
EEGF3,536.765625,537.78125
EEGF3,578.1015625,578.7109375
EEGF3,599.125,599.734375
EEGF3,646.7578125,647.3671875
EEGF3,702.71875,703.328125
EEGF3,746.6953125,747.5078125
EEGF3,793.109375,793.71875
EEGF3,802.453125,803.265625
EEGF3,877.9140625,878.625
EEGF3,1080.8359375,1081.75
EEGF3,1083.171875,1084.390625
EEGF3,1195.90625,1196.8203125
EEGF3,1198.34375,1199.359375
EEGF3,1464.4375,1465.1484375
EEGF3,1474.4921875,1475.203125
EEGF3,1493.890625,1495.0078125
EEGF3,1667.8671875,1669.2890625
EEGF3,1673.9609375,1674.5703125
EEGF3,1769.2265625,1769.8359375
EEGF3,1825.796875,1826.40625
EEGF3,1891.609375,1892.421875
EEGF3,1958.5390625,1959.25
EEGF3,2043.2421875,2044.0546875
EEGF3,2092.296875,2093.2109375
EEGFz,320.640625,321.5546875
EEGFz,438.453125,439.46875
EEGFz,455.921875,456.53125
EEGFz,470.140625,470.953125
EEGFz,499.0859375,499.6953125
EEGFz,534.8359375,535.546875
EEGFz,597.6015625,598.3125
EEGFz,600.140625,600.75
EEGFz,702.6171875,703.2265625
EEGFz,746.796875,747.40625
EEGFz,802.453125,803.3671875
EEGFz,853.4375,854.046875
EEGFz,1016.34375,1016.953125
EEGFz,1051.6875,1052.296875
EEGFz,1080.9375,1081.953125
EEGFz,1200.578125,1201.1875
EEGFz,1455.09375,1455.703125
EEGFz,1494.09375,1494.703125
EEGFz,1557.1640625,1557.7734375
EEGFz,1761.3046875,1761.9140625
EEGFz,1825.796875,1826.609375
EEGFz,1891.7109375,1892.421875
EEGFz,1958.234375,1958.84375
EEGFz,2074.21875,2074.9296875
EEGF4,74.453125,75.0625
EEGF4,320.84375,321.5546875
EEGF4,495.4296875,496.0390625
EEGF4,534.8359375,535.546875
EEGF4,636.1953125,636.90625
EEGF4,671.9453125,672.5546875
EEGF4,823.78125,824.59375
EEGF4,836.171875,836.78125
EEGF4,922.09375,922.90625
EEGF4,1040.3125,1041.125
EEGF4,1079.4140625,1081.546875
EEGF4,1358.7109375,1359.3203125
EEGF4,1455.1953125,1455.8046875
EEGF4,1474.4921875,1475.1015625
EEGF4,1491.65625,1492.5703125
EEGF4,1502.421875,1503.1328125
EEGF4,1551.984375,1552.59375
EEGF4,1557.1640625,1558.078125
EEGF4,1561.734375,1562.546875
EEGF4,1598.90625,1599.8203125
EEGF4,1668.78125,1669.390625
EEGF4,1674.671875,1675.28125
EEGF4,1761.40625,1762.1171875
EEGF4,1765.265625,1766.3828125
EEGF4,1769.2265625,1770.0390625
EEGF4,1825.4921875,1826.609375
EEGF4,1892.015625,1892.625
EEGF4,1920.65625,1921.46875
EEGF4,1924.109375,1924.8203125
EEGF4,1958.3359375,1959.859375
EEGF4,2035.3203125,2036.3359375
EEGF8,270.875,271.7890625
EEGF8,307.3359375,307.9453125
EEGF8,459.0703125,459.6796875
EEGF8,517.875,518.484375
EEGF8,536.765625,537.578125
EEGF8,794.4296875,795.0390625
EEGF8,1033.9140625,1034.5234375
EEGF8,1358.7109375,1359.3203125
EEGF8,1437.015625,1437.828125
EEGF8,1443.109375,1443.71875
EEGF8,1474.1875,1475
EEGF8,1489.5234375,1490.1328125
EEGF8,1557.0625,1558.078125
EEGF8,1571.6875,1572.3984375
EEGF8,1599.0078125,1599.6171875
EEGF8,1674.671875,1675.28125
EEGF8,1745.15625,1746.171875
EEGF8,1769.125,1770.140625
EEGF8,1825.2890625,1826.1015625
EEGF8,1837.0703125,1837.78125
EEGF8,1922.078125,1922.6875
EEGF8,1958.640625,1959.9609375
EEGT3,65.2109375,65.8203125
EEGT3,73.4375,74.046875
EEGT3,236.0390625,236.6484375
EEGT3,320.7421875,321.453125
EEGT3,458.96875,459.578125
EEGT3,470.140625,470.8515625
EEGT3,479.1796875,479.7890625
EEGT3,493.09375,494.0078125
EEGT3,496.34375,497.0546875
EEGT3,503.5546875,504.265625
EEGT3,506.3984375,507.109375
EEGT3,509.140625,510.15625
EEGT3,535.2421875,536.359375
EEGT3,542.65625,543.3671875
EEGT3,554.5390625,555.25
EEGT3,561.953125,562.5625
EEGT3,578.1015625,579.21875
EEGT3,625.53125,626.75
EEGT3,637.2109375,637.921875
EEGT3,679.2578125,680.375
EEGT3,692.2578125,693.375
EEGT3,738.5703125,739.3828125
EEGT3,762.3359375,763.1484375
EEGT3,764.46875,765.078125
EEGT3,793.6171875,794.2265625
EEGT3,875.0703125,875.78125
EEGT3,908.1796875,908.890625
EEGT3,1005.6796875,1006.2890625
EEGT3,1096.0703125,1097.390625
EEGT3,1491.5546875,1492.1640625
EEGT3,1674.875,1675.484375
EEGT3,1958.3359375,1959.25
EEGC3,106.75,107.6640625
EEGC3,235.734375,236.34375
EEGC3,266.8125,267.421875
EEGC3,314.140625,315.4609375
EEGC3,415.1953125,415.8046875
EEGC3,420.0703125,420.6796875
EEGC3,440.1796875,440.890625
EEGC3,444.34375,445.15625
EEGC3,462.21875,463.1328125
EEGC3,467.8046875,468.6171875
EEGC3,470.140625,471.359375
EEGC3,491.5703125,494.4140625
EEGC3,499.0859375,499.6953125
EEGC3,506.296875,507.109375
EEGC3,508.53125,510.0546875
EEGC3,512.4921875,513.203125
EEGC3,536.765625,537.4765625
EEGC3,541.4375,542.046875
EEGC3,546.8203125,547.4296875
EEGC3,550.78125,551.59375
EEGC3,575.765625,576.375
EEGC3,583.3828125,584.296875
EEGC3,588.15625,588.765625
EEGC3,590.6953125,591.609375
EEGC3,625.8359375,626.546875
EEGC3,692.2578125,693.171875
EEGC3,710.4375,711.5546875
EEGC3,724.046875,724.65625
EEGC3,759.2890625,760
EEGC3,779.3984375,780.0078125
EEGC3,1096.0703125,1096.984375
EEGC3,1198.4453125,1199.0546875
EEGC3,1468.8046875,1469.515625
EEGC3,1880.234375,1880.84375
EEGC3,1947.5703125,1948.1796875
EEGC3,1971.03125,1971.640625
EEGC3,1974.6875,1975.3984375
EEGCz,246.8046875,247.6171875
EEGCz,270.5703125,271.5859375
EEGCz,470.0390625,470.6484375
EEGCz,492.078125,492.890625
EEGCz,521.734375,522.34375
EEGCz,542.046875,542.859375
EEGCz,579.21875,579.9296875
EEGCz,663.109375,663.71875
EEGCz,694.8984375,695.8125
EEGCz,817.5859375,818.296875
EEGCz,1220.7890625,1221.3984375
EEGCz,1253.1875,1253.8984375
EEGCz,1671.1171875,1671.7265625
EEGCz,1745.15625,1745.765625
EEGCz,1761.1015625,1761.9140625
EEGCz,1827.625,1828.3359375
EEGCz,1974.484375,1975.6015625
EEGCz,2008.5078125,2009.1171875
EEGCz,2044.4609375,2045.2734375
EEGCz,2096.0546875,2096.6640625
EEGC4,174.796875,175.609375
EEGC4,236.0390625,236.6484375
EEGC4,437.3359375,437.9453125
EEGC4,486.0859375,487.203125
EEGC4,495.125,496.0390625
EEGC4,502.03125,502.9453125
EEGC4,529.1484375,529.7578125
EEGC4,598.921875,599.6328125
EEGC4,627.2578125,627.8671875
EEGC4,688.90625,689.515625
EEGC4,789.25,790.1640625
EEGC4,1705.6484375,1706.359375
EEGC4,1959.1484375,1959.859375
EEGC4,1972.9609375,1973.5703125
EEGT4,30.375,31.1875
EEGT4,235.328125,235.9375
EEGT4,308.3515625,309.1640625
EEGT4,312.109375,312.921875
