Canale,durata(s)
EEGFp1,1.1171875
EEGFp1,1.1171875
EEGFp1,0.7109375
EEGFp1,0.7109375
EEGFp1,0.609375
EEGFp1,1.015625
EEGFp1,0.9140625
EEGFp1,0.609375
EEGFp1,0.609375
EEGFp1,0.609375
EEGFp1,0.609375
EEGFp1,0.7109375
EEGFp1,0.7109375
EEGFp1,0.609375
EEGFp1,1.21875
EEGFp1,1.015625
EEGFp1,1.21875
EEGFp1,1.5234375
EEGFp1,0.7109375
EEGFp1,1.828125
EEGFp1,0.609375
EEGFp1,0.609375
EEGFp1,0.609375
EEGFp1,0.8125
EEGFp1,0.8125
EEGFp1,1.421875
EEGFp1,1.1171875
EEGFp1,0.7109375
EEGFp1,1.7265625
EEGFp1,1.1171875
EEGFp1,0.609375
EEGFp1,0.8125
EEGFp1,0.609375
EEGFp1,0.609375
EEGFp1,0.9140625
EEGFp1,0.609375
EEGFp1,1.015625
EEGFp1,0.609375
EEGFp1,1.3203125
EEGFp1,1.015625
EEGFp1,1.3203125
EEGFp1,0.7109375
EEGFp1,1.21875
EEGFp1,0.7109375
EEGFp1,0.7109375
EEGFp1,1.015625
EEGFp1,0.8125
EEGFp1,0.9140625
EEGFp1,0.609375
EEGFp1,0.8125
EEGFp1,0.8125
EEGFp1,0.609375
EEGFp1,0.609375
EEGFp1,0.7109375
EEGFp1,0.7109375
EEGFp1,0.609375
EEGFp1,0.609375
EEGFp1,0.609375
EEGFp1,0.8125
EEGFp1,1.21875
EEGFp1,0.9140625
EEGFp1,0.609375
EEGFp1,1.21875
EEGFp1,1.3203125
EEGFp1,1.3203125
EEGFp1,0.8125
EEGFp1,0.609375
EEGFp1,0.609375
EEGFp1,0.609375
EEGFp1,0.9140625
EEGFp2,0.7109375
EEGFp2,0.8125
EEGFp2,0.8125
EEGFp2,0.609375
EEGFp2,0.7109375
EEGFp2,1.21875
EEGFp2,3.859375
EEGFp2,2.5390625
EEGFp2,1.625
EEGFp2,1.1171875
EEGFp2,1.625
EEGFp2,0.7109375
EEGFp2,2.234375
EEGFp2,0.7109375
EEGFp2,0.7109375
EEGFp2,0.9140625
EEGFp2,0.9140625
EEGFp2,2.3359375
EEGFp2,0.609375
EEGFp2,0.609375
EEGFp2,1.015625
EEGFp2,2.1328125
EEGFp2,0.609375
EEGFp2,1.015625
EEGFp2,1.21875
EEGFp2,1.3203125
EEGFp2,0.9140625
EEGFp2,3.046875
EEGFp2,1.3203125
EEGFp2,1.21875
EEGFp2,1.828125
EEGFp2,0.7109375
EEGFp2,3.3515625
EEGFp2,1.015625
EEGFp2,0.9140625
EEGFp2,1.015625
EEGFp2,1.421875
EEGFp2,1.421875
EEGFp2,1.015625
EEGFp2,0.7109375
EEGFp2,0.609375
EEGFp2,1.1171875
EEGFp2,1.828125
EEGFp2,2.3359375
EEGFp2,0.609375
EEGFp2,0.609375
EEGFp2,0.8125
EEGFp2,1.015625
EEGFp2,1.7265625
EEGFp2,1.625
EEGFp2,0.8125
EEGFp2,0.609375
EEGFp2,0.7109375
EEGFp2,0.9140625
EEGFp2,0.7109375
EEGFp2,2.234375
EEGFp2,0.609375
EEGFp2,0.609375
EEGFp2,0.7109375
EEGFp2,1.015625
EEGFp2,2.3359375
EEGFp2,1.9296875
EEGFp2,0.9140625
EEGFp2,0.7109375
EEGFp2,1.3203125
EEGFp2,1.1171875
EEGFp2,0.7109375
EEGFp2,0.7109375
EEGFp2,1.015625
EEGFp2,0.7109375
EEGFp2,0.7109375
EEGFp2,0.7109375
EEGFp2,0.7109375
EEGFp2,3.5546875
EEGFp2,1.1171875
EEGFp2,0.609375
EEGFp2,0.9140625
EEGFp2,0.609375
EEGFp2,0.9140625
EEGFp2,0.7109375
EEGFp2,0.7109375
EEGFp2,0.8125
EEGFp2,0.9140625
EEGFp2,0.7109375
EEGFp2,0.9140625
EEGFp2,0.609375
EEGFp2,0.7109375
EEGFp2,0.8125
EEGFp2,1.3203125
EEGFp2,2.03125
EEGFp2,1.1171875
EEGFp2,1.421875
EEGFp2,0.7109375
EEGFp2,0.9140625
EEGFp2,0.8125
EEGFp2,1.21875
EEGFp2,0.9140625
EEGFp2,0.7109375
EEGFp2,0.8125
EEGFp2,0.609375
EEGFp2,0.8125
EEGFp2,0.609375
EEGFp2,0.609375
EEGFp2,0.609375
EEGFp2,0.609375
EEGFp2,0.8125
EEGFp2,0.7109375
EEGFp2,0.609375
EEGFp2,2.03125
EEGFp2,1.21875
EEGFp2,0.8125
EEGFp2,0.8125
EEGFp2,0.609375
EEGFp2,0.7109375
EEGFp2,0.609375
EEGFp2,0.9140625
EEGFp2,1.3203125
EEGFp2,0.9140625
EEGFp2,0.609375
EEGFp2,0.8125
EEGFp2,0.609375
EEGFp2,0.609375
EEGFp2,0.7109375
EEGFp2,1.015625
EEGFp2,0.7109375
EEGFp2,1.015625
EEGFp2,0.7109375
EEGFp2,0.7109375
EEGFp2,0.609375
EEGFp2,1.015625
EEGFp2,0.609375
EEGFp2,0.8125
EEGFp2,0.9140625
EEGFp2,0.609375
EEGFp2,1.21875
EEGFp2,0.609375
EEGFp2,1.21875
EEGFp2,0.609375
EEGFp2,0.609375
EEGFp2,0.609375
EEGFp2,0.609375
EEGFp2,0.7109375
EEGFp2,0.9140625
EEGFp2,1.421875
EEGF7,0.7109375
EEGF7,0.7109375
EEGF7,0.7109375
EEGF7,0.609375
EEGF7,0.609375
EEGF7,1.1171875
EEGF7,1.421875
EEGF7,0.7109375
EEGF7,2.03125
EEGF7,0.609375
EEGF7,1.7265625
EEGF7,0.7109375
EEGF7,1.828125
EEGF7,0.609375
EEGF7,1.5234375
EEGF7,1.21875
EEGF7,3.1484375
EEGF7,0.7109375
EEGF7,0.609375
EEGF7,1.015625
EEGF7,0.8125
EEGF7,0.609375
EEGF7,0.8125
EEGF7,1.828125
EEGF7,0.9140625
EEGF7,2.03125
EEGF7,0.7109375
EEGF7,1.1171875
EEGF7,1.7265625
EEGF7,0.609375
EEGF7,0.609375
EEGF7,0.609375
EEGF7,0.609375
EEGF7,1.9296875
EEGF7,2.9453125
EEGF7,2.234375
EEGF7,1.3203125
EEGF7,0.609375
EEGF7,1.5234375
EEGF7,0.609375
EEGF7,2.234375
EEGF7,2.03125
EEGF7,0.8125
EEGF7,0.9140625
EEGF7,1.015625
EEGF7,0.7109375
EEGF7,2.03125
EEGF7,0.609375
EEGF7,1.625
EEGF7,1.625
EEGF7,1.5234375
EEGF7,0.8125
EEGF7,1.015625
EEGF7,2.03125
EEGF7,0.609375
EEGF7,0.8125
EEGF7,0.8125
EEGF7,1.828125
EEGF7,1.625
EEGF7,1.015625
EEGF7,0.609375
EEGF7,1.015625
EEGF7,0.7109375
EEGF7,0.8125
EEGF7,0.8125
EEGF7,0.7109375
EEGF7,0.8125
EEGF7,1.015625
EEGF7,0.9140625
EEGF7,0.609375
EEGF7,0.609375
EEGF7,1.5234375
EEGF7,0.7109375
EEGF7,1.015625
EEGF7,1.21875
EEGF7,0.7109375
EEGF7,1.21875
EEGF7,0.7109375
EEGF7,0.609375
EEGF7,2.3359375
EEGF7,1.015625
EEGF7,0.609375
EEGF7,0.8125
EEGF7,0.8125
EEGF7,0.609375
EEGF7,0.609375
EEGF7,0.609375
EEGF7,0.609375
EEGF7,1.3203125
EEGF7,0.7109375
EEGF7,0.609375
EEGF7,0.9140625
EEGF7,0.9140625
EEGF7,0.609375
EEGF7,0.8125
EEGF7,0.609375
EEGF7,0.609375
EEGF7,0.7109375
EEGF7,0.609375
EEGF7,0.7109375
EEGF7,1.1171875
EEGF7,0.7109375
EEGF7,0.609375
EEGF7,0.7109375
EEGF7,0.8125
EEGF7,1.7265625
EEGF7,1.015625
EEGF3,0.7109375
EEGF3,0.609375
EEGF3,0.7109375
EEGF3,1.015625
EEGF3,0.7109375
EEGF3,0.609375
EEGF3,0.609375
EEGF3,0.609375
EEGF3,1.9296875
EEGF3,0.9140625
EEGF3,0.9140625
EEGF3,0.609375
EEGF3,0.609375
EEGF3,0.9140625
EEGF3,0.8125
EEGF3,0.609375
EEGF3,0.7109375
EEGF3,0.609375
EEGF3,1.1171875
EEGF3,1.3203125
EEGF3,0.609375
EEGF3,0.7109375
EEGF3,0.609375
EEGF3,0.609375
EEGF3,0.609375
EEGF3,0.9140625
EEGF3,1.015625
EEGF3,2.1328125
EEGF3,0.8125
EEGF3,1.9296875
EEGF3,0.609375
EEGF3,2.234375
EEGF3,0.8125
EEGF3,0.7109375
EEGF3,0.609375
EEGF3,1.015625
EEGF3,1.015625
EEGF3,0.609375
EEGF3,0.7109375
EEGF3,0.8125
EEGF3,0.609375
EEGF3,1.3203125
EEGF3,0.7109375
EEGF3,0.7109375
EEGF3,0.609375
EEGF3,1.015625
EEGF3,1.421875
EEGF3,1.21875
EEGF3,1.7265625
EEGF3,0.609375
EEGF3,0.9140625
EEGF3,1.015625
EEGF3,0.7109375
EEGF3,1.3203125
EEGF3,0.8125
EEGF3,0.9140625
EEGF3,1.21875
EEGF3,0.8125
EEGF3,1.015625
EEGF3,0.8125
EEGF3,0.609375
EEGF3,0.609375
EEGF3,1.015625
EEGF3,0.9140625
EEGF3,1.828125
EEGF3,1.015625
EEGF3,0.9140625
EEGF3,0.609375
EEGF3,0.8125
EEGF3,0.8125
EEGF3,0.7109375
EEGF3,0.8125
EEGF3,0.9140625
EEGF3,0.7109375
EEGF3,1.1171875
EEGF3,0.7109375
EEGF3,0.9140625
EEGF3,1.625
EEGF3,0.609375
EEGF3,0.9140625
EEGF3,1.7265625
EEGF3,0.609375
EEGF3,0.609375
EEGF3,0.9140625
EEGF3,0.609375
EEGF3,0.609375
EEGF3,0.7109375
EEGF3,0.7109375
EEGF3,0.7109375
EEGF3,0.609375
EEGF3,0.7109375
EEGF3,0.7109375
EEGF3,0.609375
EEGF3,0.8125
EEGF3,0.7109375
EEGF3,1.21875
EEGF3,0.8125
EEGF3,0.609375
EEGF3,1.015625
EEGF3,1.3203125
EEGF3,1.21875
EEGF3,0.609375
EEGF3,0.9140625
EEGF3,0.609375
EEGF3,0.609375
EEGF3,0.9140625
EEGF3,1.015625
EEGF3,0.8125
EEGF3,0.8125
EEGF3,0.8125
EEGF3,1.7265625
EEGF3,0.609375
EEGF3,0.609375
EEGF3,0.7109375
EEGF3,1.015625
EEGF3,0.9140625
EEGF3,1.625
EEGF3,2.4375
EEGF3,0.609375
EEGF3,1.5234375
EEGF3,0.609375
EEGF3,0.9140625
EEGF3,0.7109375
EEGF3,1.5234375
EEGF3,1.1171875
EEGFz,0.609375
EEGFz,0.609375
EEGFz,0.7109375
EEGFz,0.609375
EEGFz,0.9140625
EEGFz,1.1171875
EEGFz,0.9140625
EEGFz,0.9140625
EEGFz,1.1171875
EEGFz,0.609375
EEGFz,0.609375
EEGFz,0.7109375
EEGFz,0.609375
EEGFz,0.609375
EEGF4,0.7109375
EEGF4,0.609375
EEGF4,0.7109375
EEGF4,0.8125
EEGF4,0.7109375
EEGF4,1.625
EEGF4,0.609375
EEGF4,2.4375
EEGF4,2.234375
EEGF4,1.7265625
EEGF4,0.8125
EEGF4,1.9296875
EEGF4,0.609375
EEGF4,1.3203125
EEGF4,0.609375
EEGF4,0.609375
EEGF4,0.7109375
EEGF4,0.9140625
EEGF4,0.609375
EEGF4,0.609375
EEGF4,0.8125
EEGF4,0.609375
EEGF4,0.7109375
EEGF4,0.609375
EEGF4,1.015625
EEGF4,1.015625
EEGF4,0.9140625
EEGF4,2.7421875
EEGF4,0.9140625
EEGF4,1.1171875
EEGF4,1.625
EEGF4,1.828125
EEGF4,4.265625
EEGF4,1.015625
EEGF4,0.609375
EEGF4,1.3203125
EEGF4,0.609375
EEGF4,0.609375
EEGF4,0.9140625
EEGF4,0.7109375
EEGF4,0.609375
EEGF4,0.609375
EEGF4,0.609375
EEGF4,1.7265625
EEGF4,0.7109375
EEGF4,0.609375
EEGF4,0.609375
EEGF4,0.8125
EEGF4,0.8125
EEGF4,1.625
EEGF4,1.5234375
EEGF4,0.8125
EEGF4,0.609375
EEGF4,0.609375
EEGF4,0.7109375
EEGF4,0.609375
EEGF4,0.609375
EEGF4,1.015625
EEGF4,1.5234375
EEGF4,0.7109375
EEGF4,0.609375
EEGF4,0.7109375
EEGF4,0.609375
EEGF4,0.609375
EEGF4,1.015625
EEGF4,0.609375
EEGF4,0.7109375
EEGF4,0.609375
EEGF4,1.1171875
EEGF4,0.8125
EEGF4,1.1171875
EEGF4,1.015625
EEGF4,0.7109375
EEGF4,1.9296875
EEGF4,0.7109375
EEGF4,1.9296875
EEGF4,0.7109375
EEGF4,1.5234375
EEGF4,1.21875
EEGF4,1.421875
EEGF4,0.609375
EEGF4,0.609375
EEGF4,0.7109375
EEGF4,0.7109375
EEGF4,0.7109375
EEGF4,0.8125
EEGF4,1.7265625
EEGF4,0.609375
EEGF4,0.609375
EEGF4,0.609375
EEGF4,0.7109375
EEGF4,0.609375
EEGF4,0.7109375
EEGF4,0.609375
EEGF4,1.1171875
EEGF4,0.8125
EEGF4,0.609375
EEGF4,1.828125
EEGF4,0.9140625
EEGF4,0.8125
EEGF4,0.609375
EEGF4,1.5234375
EEGF4,0.609375
EEGF4,0.7109375
EEGF4,2.640625
EEGF4,0.8125
EEGF4,0.609375
EEGF4,0.609375
EEGF4,1.5234375
EEGF4,0.7109375
EEGF4,0.609375
EEGF4,0.9140625
EEGF4,0.609375
EEGF4,0.609375
EEGF4,0.7109375
EEGF4,0.609375
EEGF4,1.421875
EEGF4,0.8125
EEGF4,0.8125
EEGF4,0.8125
EEGF4,0.609375
EEGF4,0.7109375
EEGF4,1.015625
EEGF4,1.21875
EEGF4,0.609375
EEGF4,0.609375
EEGF4,0.609375
EEGF4,0.8125
EEGF4,0.609375
EEGF4,1.9296875
EEGF4,0.609375
EEGF4,0.9140625
EEGF4,0.7109375
EEGF4,0.609375
EEGF4,0.609375
EEGF4,1.015625
EEGF8,2.03125
EEGF8,0.609375
EEGF8,0.7109375
EEGF8,0.7109375
EEGF8,1.1171875
EEGF8,1.3203125
EEGF8,0.7109375
EEGF8,0.8125
EEGF8,0.609375
EEGF8,0.9140625
EEGF8,0.8125
EEGF8,0.609375
EEGF8,0.609375
EEGF8,0.609375
EEGF8,0.7109375
EEGF8,1.015625
EEGF8,0.9140625
EEGF8,0.8125
EEGF8,1.1171875
EEGF8,2.84375
EEGF8,0.9140625
EEGF8,0.609375
EEGF8,0.7109375
EEGF8,1.828125
EEGF8,0.8125
EEGF8,0.609375
EEGF8,1.7265625
EEGF8,0.609375
EEGF8,1.3203125
EEGF8,0.9140625
EEGF8,0.609375
EEGF8,1.015625
EEGF8,0.609375
EEGF8,0.8125
EEGF8,1.7265625
EEGF8,0.8125
EEGF8,0.7109375
EEGF8,0.609375
EEGF8,0.7109375
EEGF8,0.7109375
EEGF8,1.015625
EEGF8,1.7265625
EEGF8,1.5234375
EEGF8,0.9140625
EEGF8,0.609375
EEGF8,1.421875
EEGF8,0.7109375
EEGF8,0.609375
EEGF8,0.7109375
EEGF8,0.8125
EEGF8,1.421875
EEGF8,0.609375
EEGF8,0.7109375
EEGF8,0.7109375
EEGF8,0.7109375
EEGF8,0.8125
EEGF8,0.609375
EEGF8,0.609375
EEGF8,0.9140625
EEGF8,1.21875
EEGF8,1.015625
EEGF8,0.7109375
EEGF8,0.7109375
EEGF8,0.8125
EEGF8,0.7109375
EEGF8,0.609375
EEGF8,0.609375
EEGF8,0.609375
EEGF8,1.625
EEGF8,0.8125
EEGF8,0.609375
EEGF8,0.609375
EEGF8,0.609375
EEGF8,0.609375
EEGF8,0.609375
EEGF8,0.8125
EEGF8,2.234375
EEGF8,0.609375
EEGF8,0.7109375
EEGF8,0.8125
EEGF8,0.9140625
EEGF8,0.9140625
EEGF8,0.7109375
EEGF8,0.609375
EEGF8,0.8125
EEGF8,0.609375
EEGF8,0.7109375
EEGF8,0.7109375
EEGF8,0.7109375
EEGF8,0.609375
EEGF8,0.8125
EEGF8,1.3203125
EEGF8,0.7109375
EEGF8,0.7109375
EEGF8,0.609375
EEGF8,0.609375
EEGF8,0.7109375
EEGF8,1.015625
EEGF8,1.015625
EEGF8,0.609375
EEGF8,0.7109375
EEGF8,1.9296875
EEGF8,0.7109375
EEGF8,0.7109375
EEGF8,1.015625
EEGF8,0.609375
EEGF8,1.3203125
EEGT3,0.7109375
EEGT3,0.9140625
EEGT3,0.609375
EEGT3,3.25
EEGT3,1.1171875
EEGT3,1.21875
EEGT3,0.9140625
EEGT3,0.9140625
EEGT3,1.1171875
EEGT3,2.03125
EEGT3,0.9140625
EEGT3,1.828125
EEGT3,0.8125
EEGT3,1.7265625
EEGT3,0.609375
EEGT3,0.609375
