Canale,Start_Time(s),End_Time(s)
EEGFp1,10.9765625,13.71875
EEGFp1,17.0703125,19.8125
EEGFp1,24.484375,25.703125
EEGFp1,27.53125,28.140625
EEGFp1,29.4609375,30.0703125
EEGFp1,31.59375,35.65625
EEGFp1,40.328125,41.953125
EEGFp1,44.1875,48.5546875
EEGFp1,52.8203125,54.34375
EEGFp1,58.1015625,62.0625
EEGFp1,63.078125,63.6875
EEGFp1,65.2109375,66.328125
EEGFp1,67.8515625,70.8984375
EEGFp1,72.015625,73.7421875
EEGFp1,75.875,76.484375
EEGFp1,78.4140625,82.375
EEGFp1,83.6953125,84.609375
EEGFp1,89.890625,90.6015625
EEGFp1,91.8203125,94.4609375
EEGFp1,98.5234375,102.1796875
EEGFp1,103.6015625,109.8984375
EEGFp1,112.7421875,113.3515625
EEGFp1,116.6015625,119.0390625
EEGFp1,120.5625,122.59375
EEGFp1,123.7109375,124.3203125
EEGFp1,128.7890625,129.6015625
EEGFp1,131.53125,135.6953125
EEGFp1,154.9921875,155.703125
EEGFp1,179.875,180.484375
EEGFp1,184.2421875,186.4765625
EEGFp1,188.8125,191.1484375
EEGFp1,192.9765625,198.765625
EEGFp1,201.609375,205.0625
EEGFp1,205.9765625,207.8046875
EEGFp1,219.078125,221.3125
EEGFp1,226.8984375,227.9140625
EEGFp1,230.1484375,237.359375
EEGFp1,238.2734375,242.234375
EEGFp1,243.453125,244.1640625
EEGFp1,245.1796875,246.703125
EEGFp1,248.6328125,249.8515625
EEGFp1,250.765625,253.7109375
EEGFp1,258.28125,258.9921875
EEGFp1,262.75,267.015625
EEGFp1,268.3359375,269.3515625
EEGFp1,271.078125,272.5
EEGFp1,273.8203125,274.734375
EEGFp1,277.2734375,279.203125
EEGFp1,282.046875,283.46875
EEGFp1,286.3125,290.984375
EEGFp1,292.609375,293.7265625
EEGFp1,295.859375,298.1953125
EEGFp1,299.3125,301.953125
EEGFp1,306.1171875,309.9765625
EEGFp1,311.296875,314.2421875
EEGFp1,315.4609375,316.0703125
EEGFp1,321.7578125,325.8203125
EEGFp1,326.8359375,327.4453125
EEGFp1,331.9140625,336.6875
EEGFp1,340.2421875,344.203125
EEGFp1,346.3359375,349.6875
EEGFp1,352.53125,353.140625
EEGFp1,354.359375,357.8125
EEGFp1,362.5859375,364.921875
EEGFp1,367.2578125,367.96875
EEGFp1,370.203125,371.015625
EEGFp1,372.234375,372.9453125
EEGFp1,374.7734375,376.3984375
EEGFp1,378.4296875,379.2421875
EEGFp1,381.375,382.2890625
EEGFp1,384.21875,386.65625
EEGFp1,391.53125,392.75
EEGFp1,395.0859375,396.1015625
EEGFp1,398.5390625,399.9609375
EEGFp1,403.71875,404.8359375
EEGFp1,407.6796875,408.2890625
EEGFp1,411.3359375,411.9453125
EEGFp1,412.859375,415.3984375
EEGFp1,419.359375,422
EEGFp1,423.625,427.28125
EEGFp1,428.5,430.734375
EEGFp1,432.8671875,440.890625
EEGFp1,442.2109375,444.140625
EEGFp1,449.9296875,452.875
EEGFp1,454.90625,457.0390625
EEGFp1,458.359375,459.171875
EEGFp1,462.828125,465.5703125
EEGFp1,467.6015625,471.0546875
EEGFp1,472.0703125,473.4921875
EEGFp1,475.7265625,476.4375
EEGFp1,478.1640625,483.8515625
EEGFp1,485.0703125,490.3515625
EEGFp1,491.7734375,494.71875
EEGFp1,495.9375,498.78125
EEGFp1,500.9140625,503.65625
EEGFp1,505.6875,507.921875
EEGFp1,512.4921875,513.3046875
EEGFp1,521.2265625,522.140625
EEGFp1,532.703125,540.21875
EEGFp1,544.484375,545.1953125
EEGFp1,547.8359375,550.0703125
EEGFp1,552.8125,554.03125
EEGFp1,558.3984375,559.515625
EEGFp1,561.8515625,564.0859375
EEGFp1,570.078125,576.8828125
EEGFp1,578.1015625,579.1171875
EEGFp1,580.3359375,589.171875
EEGFp1,590.1875,592.625
EEGFp1,594.1484375,595.3671875
EEGFp1,596.9921875,600.0390625
EEGFp1,601.4609375,602.0703125
EEGFp1,603.59375,606.640625
EEGFp1,610.8046875,611.515625
EEGFp1,612.53125,614.6640625
EEGFp1,617.203125,621.671875
EEGFp1,624.0078125,624.8203125
EEGFp1,629.4921875,645.640625
EEGFp1,647.5703125,648.1796875
EEGFp1,655.1875,663.6171875
EEGFp1,664.53125,667.6796875
EEGFp1,668.796875,672.1484375
EEGFp1,673.5703125,681.59375
EEGFp1,685.25,696.1171875
EEGFp1,699.671875,701.09375
EEGFp1,702.2109375,706.2734375
EEGFp1,708.9140625,711.1484375
EEGFp1,717.6484375,721.1015625
EEGFp1,725.3671875,727.5
EEGFp1,729.8359375,730.953125
EEGFp1,736.234375,738.265625
EEGFp1,739.28125,739.890625
EEGFp1,742.2265625,744.359375
EEGFp1,747.7109375,748.3203125
EEGFp1,749.5390625,750.7578125
EEGFp1,753.09375,755.2265625
EEGFp1,756.34375,757.5625
EEGFp1,760.40625,761.015625
EEGFp1,767.921875,769.953125
EEGFp1,772.8984375,776.5546875
EEGFp1,778.6875,785.0859375
EEGFp1,789.7578125,790.5703125
EEGFp1,791.7890625,792.3984375
EEGFp1,795.4453125,796.0546875
EEGFp1,798.6953125,804.078125
EEGFp1,805.3984375,808.8515625
EEGFp1,812.203125,824.2890625
EEGFp1,827.7421875,831.703125
EEGFp1,836.984375,837.8984375
EEGFp1,842.5703125,845.515625
EEGFp1,848.0546875,849.2734375
EEGFp1,851.203125,852.1171875
EEGFp1,853.1328125,857.1953125
EEGFp1,859.8359375,860.75
EEGFp1,862.984375,863.59375
EEGFp1,864.609375,867.046875
EEGFp1,869.28125,873.546875
EEGFp1,875.375,876.0859375
EEGFp1,877.40625,880.859375
EEGFp1,884.2109375,887.6640625
EEGFp1,892.1328125,894.7734375
EEGFp1,898.125,899.140625
EEGFp1,901.4765625,902.4921875
EEGFp1,904.3203125,904.9296875
EEGFp1,905.84375,907.1640625
