Canale,isi_min(s)
EEGFp1,0.9140625
EEGFp1,0.9140625
EEGFp1,1.3203125
EEGFp1,1.625
EEGFp1,1.625
EEGFp1,2.1328125
EEGFp1,3.046875
EEGFp1,3.046875
EEGFp1,3.25
EEGFp1,3.3515625
EEGFp1,3.453125
EEGFp1,3.7578125
EEGFp2,2.84375
EEGFp2,3.5546875
EEGFp2,3.7578125
EEGFp2,4.0625
EEGFp2,4.1640625
EEGFp2,6.3984375
EEGF7,1.015625
EEGF7,1.3203125
EEGF7,1.3203125
EEGF7,1.3203125
EEGF7,2.03125
EEGF7,2.9453125
EEGF7,3.25
EEGF7,3.3515625
EEGF7,3.65625
EEGF7,4.1640625
EEGF7,4.1640625
EEGF3,1.3203125
EEGF3,1.421875
EEGF3,1.625
EEGF3,1.7265625
EEGF3,1.828125
EEGF3,2.4375
EEGF3,2.84375
EEGF3,3.25
EEGF3,3.453125
EEGF3,3.453125
EEGF3,3.453125
EEGF3,3.5546875
EEGF3,3.859375
EEGF3,3.9609375
EEGF3,3.9609375
EEGFz,0.9140625
EEGFz,0.9140625
EEGFz,1.421875
EEGFz,1.625
EEGFz,1.625
EEGFz,1.828125
EEGFz,2.1328125
EEGFz,2.234375
EEGFz,2.3359375
EEGFz,2.7421875
EEGFz,3.046875
EEGF4,1.421875
EEGF4,1.828125
EEGF4,1.828125
EEGF4,1.9296875
EEGF4,2.234375
EEGF4,2.4375
EEGF4,2.84375
EEGF4,3.046875
EEGF4,3.453125
EEGF4,3.5546875
EEGF4,3.7578125
EEGF4,3.859375
EEGF4,3.9609375
EEGF4,4.1640625
EEGF8,1.21875
EEGF8,1.3203125
EEGF8,2.84375
EEGF8,3.5546875
EEGF8,3.5546875
EEGF8,3.9609375
EEGF8,4.265625
EEGF8,5.078125
EEGF8,5.1796875
EEGT3,1.3203125
EEGT3,1.421875
EEGT3,1.5234375
EEGT3,1.625
EEGT3,1.625
EEGT3,2.03125
EEGC3,1.1171875
EEGC3,1.421875
EEGC3,1.5234375
EEGC3,1.625
EEGC3,1.7265625
EEGC3,1.9296875
EEGC3,1.9296875
EEGC3,2.3359375
EEGC3,2.3359375
EEGC3,2.5390625
EEGC3,3.1484375
EEGC3,3.25
EEGCz,1.015625
EEGCz,1.3203125
EEGCz,1.3203125
EEGCz,1.421875
EEGCz,1.5234375
EEGCz,1.625
EEGCz,1.828125
EEGCz,2.1328125
EEGCz,2.7421875
EEGC4,0.9140625
EEGC4,1.015625
EEGC4,1.1171875
EEGC4,1.1171875
EEGC4,1.1171875
EEGC4,1.21875
EEGC4,1.3203125
EEGC4,1.3203125
EEGC4,1.5234375
EEGC4,1.625
EEGC4,1.7265625
EEGC4,1.7265625
EEGC4,1.7265625
EEGC4,2.03125
EEGC4,2.1328125
EEGC4,2.1328125
EEGC4,2.234375
EEGC4,2.234375
EEGT4,1.21875
EEGT4,1.3203125
EEGT4,2.84375
EEGT4,4.3671875
EEGT4,4.5703125
EEGT4,5.7890625
EEGT5,0.9140625
EEGT5,0.9140625
EEGT5,1.015625
EEGT5,1.1171875
EEGT5,1.21875
EEGT5,1.21875
EEGT5,1.421875
EEGT5,1.421875
EEGT5,1.421875
EEGT5,1.5234375
EEGT5,1.5234375
EEGT5,1.5234375
EEGT5,1.625
EEGP3,0.9140625
EEGP3,0.9140625
EEGP3,1.015625
EEGP3,1.1171875
EEGP3,1.1171875
EEGP3,1.1171875
EEGP3,1.21875
EEGP3,1.21875
EEGP3,1.21875
EEGP3,1.421875
EEGP3,1.421875
EEGPz,0.9140625
EEGPz,0.9140625
EEGPz,1.21875
EEGPz,1.21875
EEGPz,1.21875
EEGPz,1.3203125
EEGPz,1.421875
EEGPz,1.421875
EEGPz,1.625
EEGP4,1.625
EEGP4,2.03125
EEGP4,3.046875
EEGP4,5.078125
EEGP4,5.28125
EEGP4,5.6875
EEGT6,1.3203125
EEGT6,1.3203125
EEGT6,3.453125
EEGT6,4.7734375
EEGT6,4.875
EEGT6,5.6875
EEGT6,5.6875
EEGT6,5.6875
EEGO1,0.9140625
EEGO1,0.9140625
EEGO1,0.9140625
EEGO1,1.015625
EEGO1,1.1171875
EEGO1,1.1171875
EEGO1,1.1171875
EEGO1,1.1171875
EEGO1,1.1171875
EEGO1,1.21875
EEGO1,1.21875
EEGO1,1.3203125
EEGO1,1.3203125
EEGO1,1.3203125
EEGO1,1.3203125
EEGO1,1.3203125
EEGO1,1.421875
EEGO1,1.421875
EEGO2,1.1171875
EEGO2,1.5234375
EEGO2,1.625
EEGO2,1.7265625
EEGO2,1.828125
EEGO2,1.828125
EEGO2,1.9296875
EEGO2,2.1328125
EEGO2,2.234375
EEGO2,2.640625
EEGO2,2.84375
EEGO2,3.453125
