Canale,Start_Time(s),End_Time(s)
EEGFp1,233.6015625,234.2109375
EEGFp1,235.8359375,236.4453125
EEGFp1,361.7734375,362.6875
EEGFp1,433.0703125,433.8828125
EEGFp1,519.6015625,520.2109375
EEGFp1,531.3828125,531.9921875
EEGFp1,544.1796875,544.9921875
EEGFp1,739.078125,739.9921875
EEGFp1,770.8671875,771.4765625
EEGFp1,889.390625,890
EEGFp1,914.2734375,915.0859375
EEGFp1,1237.2421875,1237.953125
EEGFp1,1646.3359375,1646.9453125
EEGFp1,1756.53125,1757.4453125
EEGFp1,1778.875,1779.9921875
EEGFp1,1802.03125,1802.9453125
EEGFp1,1804.1640625,1805.5859375
EEGFp1,1817.1640625,1817.7734375
EEGFp1,1854.7421875,1855.453125
EEGFp1,1910.90625,1912.328125
EEGFp1,1924.515625,1925.328125
EEGFp1,1938.9375,1939.75
EEGFp1,1954.8828125,1955.6953125
EEGFp1,1967.4765625,1968.59375
EEGFp1,1972.859375,1973.46875
EEGFp1,1988.5,1989.109375
EEGFp1,1999.875,2000.9921875
EEGFp1,2024.7578125,2025.671875
EEGFp1,2043.34375,2044.0546875
EEGFp1,2048.7265625,2050.046875
EEGFp1,2061.21875,2062.03125
EEGFp1,2063.65625,2064.7734375
EEGFp1,2072.6953125,2073.3046875
EEGFp1,2084.578125,2085.390625
EEGFp1,2124.6953125,2125.5078125
EEGFp1,2145.2109375,2146.125
EEGFp1,2151.7109375,2153.3359375
EEGFp1,2175.6796875,2176.59375
EEGFp1,2183.6015625,2185.53125
EEGFp1,2188.375,2191.015625
EEGFp1,2210.3125,2211.125
EEGFp1,2221.28125,2222.5
EEGFp1,2233.9765625,2235.3984375
EEGFp1,2252.8671875,2253.578125
EEGFp1,2268.1015625,2268.9140625
EEGFp1,2272.875,2273.484375
EEGFp1,2298.1640625,2299.078125
EEGFp1,2304.8671875,2305.8828125
EEGFp1,2349.5546875,2350.46875
EEGFp1,2367.8359375,2368.4453125
EEGFp1,2388.7578125,2389.7734375
EEGFp1,2397.8984375,2398.9140625
EEGFp1,2403.9921875,2404.8046875
EEGFp1,2417.5,2418.4140625
EEGFp1,2422.984375,2423.8984375
EEGFp1,2457.515625,2458.125
EEGFp1,2459.2421875,2459.8515625
EEGFp1,2522.921875,2523.734375
EEGFp1,2601.125,2601.9375
EEGFp1,2642.96875,2643.6796875
EEGFp1,2660.234375,2660.9453125
EEGFp1,2677.3984375,2678.4140625
EEGFp1,2691.8203125,2692.4296875
EEGFp1,2697.1015625,2697.7109375
EEGFp1,2757.6328125,2758.34375
EEGFp1,2794.6015625,2795.6171875
EEGFp1,2805.46875,2806.3828125
EEGFp1,2830.9609375,2831.5703125
EEGFp1,3012.1484375,3012.859375
EEGFp1,3040.3828125,3040.9921875
EEGFp1,3066.7890625,3068.921875
EEGFp1,3187.34375,3188.0546875
EEGFp1,3199.734375,3200.4453125
EEGFp1,3212.0234375,3212.6328125
EEGFp1,3228.6796875,3229.6953125
EEGFp1,3367.3125,3368.0234375
EEGFp1,3664.5859375,3665.1953125
EEGFp1,4124.2578125,4125.6796875
EEGFp1,4416.25,4416.859375
EEGFp1,4418.890625,4420.109375
EEGFp1,4529.0859375,4529.6953125
EEGFp2,361.7734375,362.6875
EEGFp2,430.125,431.140625
EEGFp2,519.6015625,520.2109375
EEGFp2,550.171875,550.78125
EEGFp2,624.8203125,625.4296875
EEGFp2,705.15625,705.96875
EEGFp2,760.7109375,761.3203125
EEGFp2,912.4453125,913.5625
EEGFp2,1008.5234375,1009.1328125
EEGFp2,1237.2421875,1237.953125
EEGFp2,1607.9453125,1608.65625
