Canale,Start_Time(s),End_Time(s)
EEGFp1,451.046875,451.859375
EEGFp1,500.3046875,500.9140625
EEGFp1,516.65625,517.7734375
EEGFp1,560.125,560.8359375
EEGFp1,565.9140625,567.1328125
EEGFp1,582.671875,583.28125
EEGFp1,602.8828125,603.4921875
EEGFp1,622.9921875,623.703125
EEGFp1,640.15625,641.0703125
EEGFp1,674.9921875,676.515625
EEGFp1,689.4140625,691.0390625
EEGFp1,695.3046875,696.1171875
EEGFp1,699.265625,699.875
EEGFp1,713.9921875,714.90625
EEGFp1,738.265625,740.09375
EEGFp1,742.4296875,744.4609375
EEGFp1,751.7734375,754.109375
EEGFp1,762.5390625,764.1640625
EEGFp1,770.359375,772.6953125
EEGFp1,777.7734375,780.0078125
EEGFp1,789.046875,789.65625
EEGFp1,798.8984375,799.9140625
EEGFp1,813.015625,814.3359375
EEGFp1,819.2109375,819.8203125
EEGFp1,822.15625,823.78125
EEGFp1,834.0390625,834.8515625
EEGFp1,836.8828125,837.8984375
EEGFp1,849.78125,850.796875
EEGFp1,858.109375,859.8359375
EEGFp1,863.6953125,864.8125
EEGFp1,884.3125,885.2265625
EEGFp1,891.828125,892.640625
EEGFp1,896.3984375,897.6171875
EEGFp1,909.3984375,911.2265625
EEGFp1,918.1328125,919.453125
EEGFp1,922.703125,923.6171875
EEGFp1,941.6953125,943.9296875
EEGFp1,953.8828125,954.59375
EEGFp1,957.84375,958.453125
EEGFp1,965.8671875,966.6796875
EEGFp1,971.046875,973.078125
EEGFp1,978.359375,979.78125
EEGFp1,1000.5,1002.0234375
EEGFp1,1011.46875,1012.078125
EEGFp1,1042.34375,1043.5625
EEGFp1,1055.4453125,1056.4609375
EEGFp1,1061.234375,1062.25
EEGFp1,1075.046875,1075.65625
EEGFp1,1085.7109375,1087.7421875
EEGFp1,1089.875,1091.296875
EEGFp1,1120.0390625,1121.2578125
EEGFp1,1129.890625,1130.703125
EEGFp1,1136.59375,1137.5078125
EEGFp1,1140.65625,1141.875
EEGFp1,1151.5234375,1152.3359375
EEGFp1,1212.765625,1213.375
EEGFp1,1216.7265625,1217.84375
EEGFp1,1226.171875,1226.78125
EEGFp1,1231.3515625,1232.875
EEGFp1,1250.140625,1251.4609375
EEGFp1,1258.3671875,1259.3828125
EEGFp1,1264.8671875,1266.2890625
EEGFp1,1272.484375,1273.09375
EEGFp1,1277.2578125,1278.0703125
EEGFp1,1290.15625,1291.6796875
EEGFp1,1311.6875,1312.296875
EEGFp1,1321.7421875,1322.3515625
EEGFp1,1334.234375,1336.3671875
EEGFp1,1339.71875,1340.8359375
EEGFp1,1346.3203125,1346.9296875
EEGFp1,1349.3671875,1351.5
EEGFp1,1359.3203125,1359.9296875
EEGFp1,1362.1640625,1363.484375
EEGFp1,1376.3828125,1377.3984375
EEGFp1,1394.0546875,1394.6640625
EEGFp1,1403.8046875,1404.4140625
EEGFp1,1414.0625,1415.078125
EEGFp1,1421.8828125,1422.8984375
EEGFp1,1428.1796875,1429.09375
EEGFp1,1459.8671875,1460.578125
EEGFp1,1464.640625,1465.453125
EEGFp1,1492.265625,1493.484375
EEGFp1,1512.2734375,1513.1875
EEGFp1,1527.3046875,1527.9140625
EEGFp1,1532.484375,1535.0234375
EEGFp1,1568.5390625,1570.3671875
EEGFp1,1573.8203125,1574.4296875
EEGFp1,1596.0625,1597.078125
EEGFp1,1644.609375,1646.03125
EEGFp1,1681.4765625,1682.796875
EEGFp1,1712.9609375,1713.7734375
EEGFp1,1751.5546875,1752.1640625
EEGFp1,1789.9453125,1791.7734375
EEGFp1,1795.6328125,1796.34375
EEGFp1,1818.484375,1819.5
EEGFp1,1840.015625,1841.03125
EEGFp1,1847.6328125,1848.8515625
EEGFp1,1888.2578125,1889.375
EEGFp1,1907.3515625,1908.0625
EEGFp1,1912.2265625,1913.0390625
EEGFp1,1932.03125,1933.1484375
EEGFp1,1936.5,1937.6171875
EEGFp1,1942.59375,1944.5234375
EEGFp1,2021.7109375,2024.7578125
EEGFp1,2029.2265625,2030.140625
EEGFp1,2042.734375,2043.75
EEGFp1,2090.46875,2091.28125
EEGFp1,2108.6484375,2109.2578125
EEGFp1,2208.6875,2209.296875
EEGFp1,2218.7421875,2219.859375
EEGFp1,2223.109375,2224.2265625
EEGFp1,2235.296875,2236.109375
EEGFp1,2382.8671875,2384.390625
EEGFp1,2389.671875,2390.6875
EEGFp1,2396.0703125,2396.8828125
EEGFp1,2410.6953125,2411.609375
EEGFp1,2417.296875,2418.0078125
EEGFp1,2423.8984375,2426.1328125
EEGFp1,2445.53125,2446.34375
EEGFp1,2460.2578125,2461.375
EEGFp1,2477.421875,2478.03125
EEGFp1,2489.7109375,2490.421875
EEGFp1,2491.9453125,2493.671875
EEGFp1,2496.6171875,2498.2421875
EEGFp1,2503.1171875,2504.1328125
EEGFp1,2531.3515625,2531.9609375
EEGFp1,2538.765625,2539.78125
EEGFp1,2543.9453125,2544.65625
EEGFp1,2546.9921875,2548.515625
EEGFp1,2550.8515625,2552.578125
EEGFp1,2557.3515625,2558.3671875
EEGFp1,2573.90625,2575.8359375
EEGFp1,2582.03125,2583.453125
EEGFp1,2591.578125,2592.4921875
EEGFp1,2593.9140625,2594.9296875
EEGFp1,2611.28125,2612.703125
EEGFp1,2617.2734375,2618.2890625
EEGFp1,2627.8359375,2628.75
EEGFp1,2636.1640625,2636.7734375
EEGFp1,2672.3203125,2672.9296875
EEGFp1,2674.25,2674.859375
EEGFp1,2678.4140625,2680.34375
EEGFp1,2693.140625,2694.0546875
EEGFp1,2710.203125,2711.3203125
EEGFp1,2717.4140625,2719.2421875
EEGFp1,2727.5703125,2729.09375
EEGFp1,2737.828125,2739.25
EEGFp1,2748.6953125,2750.3203125
EEGFp1,2754.28125,2754.890625
EEGFp1,2770.125,2773.4765625
