Canale,Start_Time(s),End_Time(s)
EEGFp1,3.4609375,7.9296875
EEGFp1,17.4765625,18.0859375
EEGFp1,19.1015625,20.828125
EEGFp1,23.1640625,24.28125
EEGFp1,26.0078125,27.6328125
EEGFp1,30.578125,38.3984375
EEGFp1,39.71875,49.3671875
EEGFp1,50.890625,52.4140625
EEGFp1,53.53125,56.375
EEGFp1,62.265625,62.9765625
EEGFp1,69.578125,70.796875
EEGFp1,74.65625,76.484375
EEGFp1,97,97.7109375
EEGFp1,100.1484375,102.078125
EEGFp1,106.140625,107.2578125
EEGFp1,110.609375,112.234375
EEGFp1,113.3515625,115.890625
EEGFp1,123.5078125,126.453125
EEGFp1,134.4765625,138.9453125
EEGFp1,140.265625,140.9765625
EEGFp1,141.9921875,144.0234375
EEGFp1,154.28125,156.8203125
EEGFp1,159.4609375,160.0703125
EEGFp1,161.2890625,166.3671875
EEGFp1,168.1953125,169.8203125
EEGFp1,175,176.3203125
EEGFp1,177.234375,180.890625
EEGFp1,183.9375,189.7265625
EEGFp1,191.3515625,192.3671875
EEGFp1,197.546875,202.3203125
EEGFp1,204.3515625,210.546875
EEGFp1,214.40625,216.03125
EEGFp1,224.6640625,226.2890625
EEGFp1,227.7109375,228.828125
EEGFp1,231.875,232.890625
EEGFp1,237.15625,237.765625
EEGFp1,249.546875,250.359375
EEGFp1,255.234375,257.3671875
EEGFp1,260.3125,260.921875
EEGFp1,286.3125,287.2265625
EEGFp1,293.015625,293.625
EEGFp1,300.734375,301.6484375
EEGFp1,314.4453125,315.6640625
EEGFp1,413.1640625,414.078125
EEGFp1,619.5390625,620.3515625
EEGFp1,622.484375,625.6328125
EEGFp1,685.859375,686.5703125
EEGFp1,726.28125,726.890625
EEGFp1,823.984375,824.796875
EEGFp1,838.9140625,839.7265625
EEGFp1,856.1796875,856.890625
EEGFp1,869.078125,870.6015625
EEGFp1,873.546875,875.0703125
EEGFp1,877.3046875,878.421875
EEGFp1,883.90625,886.8515625
EEGFp1,891.21875,891.828125
EEGFp1,898.328125,899.6484375
EEGFp1,913.0546875,913.6640625
EEGFp1,924.125,925.140625
EEGFp1,934.078125,934.7890625
EEGFp1,947.5859375,948.5
EEGFp1,965.2578125,966.0703125
EEGFp1,977.4453125,978.359375
EEGFp1,989.0234375,990.546875
EEGFp1,992.6796875,994.3046875
EEGFp1,998.3671875,999.078125
EEGFp1,1023.65625,1025.484375
EEGFp1,1027.6171875,1028.2265625
EEGFp1,1029.546875,1030.5625
EEGFp1,1034.9296875,1035.640625
EEGFp1,1045.390625,1046
EEGFp1,1062.1484375,1063.46875
EEGFp1,1066.515625,1067.2265625
