Canale,Start_Time(s),End_Time(s)
EEGFp1,32.3046875,32.9140625
EEGFp1,36.875,37.5859375
EEGFp1,49.9765625,50.890625
EEGFp1,126.859375,127.5703125
EEGFp1,199.171875,199.8828125
EEGFp1,235.4296875,236.2421875
EEGFp1,250.2578125,250.8671875
EEGFp1,296.3671875,296.9765625
EEGFp1,327.8515625,328.5625
EEGFp1,376.703125,377.4140625
EEGFp1,398.03125,398.640625
EEGFp1,428.703125,429.4140625
EEGFp1,461.8125,462.7265625
EEGFp1,467.6015625,468.6171875
EEGFp1,472.4765625,473.0859375
EEGFp1,490.453125,491.1640625
EEGFp1,501.21875,501.828125
EEGFp1,526.9140625,527.5234375
EEGFp1,538.796875,540.7265625
EEGFp1,544.890625,545.703125
EEGFp1,548.953125,551.6953125
EEGFp1,554.4375,556.1640625
EEGFp1,567.234375,568.046875
EEGFp1,575.8671875,577.59375
EEGFp1,580.7421875,581.7578125
EEGFp1,585.3125,586.4296875
EEGFp1,595.265625,596.28125
EEGFp1,602.4765625,603.8984375
EEGFp1,621.265625,623.296875
EEGFp1,627.359375,628.8828125
EEGFp1,650.4140625,651.6328125
EEGFp1,659.3515625,660.0625
EEGFp1,669.8125,670.5234375
EEGFp1,678.0390625,678.75
EEGFp1,680.2734375,681.2890625
EEGFp1,686.1640625,687.28125
EEGFp1,704.546875,705.15625
EEGFp1,726.7890625,728.6171875
EEGFp1,735.7265625,737.65625
EEGFp1,740.6015625,742.8359375
EEGFp1,751.875,752.6875
EEGFp1,780.0078125,781.53125
EEGFp1,782.6484375,783.4609375
EEGFp1,785.0859375,786.5078125
EEGFp1,795.140625,797.171875
EEGFp1,800.7265625,801.5390625
EEGFp1,811.59375,812.3046875
EEGFp1,831.5,832.3125
EEGFp1,841.453125,842.265625
EEGFp1,853.5390625,854.3515625
EEGFp1,868.46875,869.890625
EEGFp1,872.734375,874.8671875
EEGFp1,892.4375,893.9609375
EEGFp1,898.0234375,901.375
EEGFp1,910.8203125,911.4296875
EEGFp1,938.8515625,939.96875
EEGFp1,966.578125,968.609375
EEGFp1,971.3515625,972.0625
EEGFp1,979.984375,982.015625
EEGFp1,1006.2890625,1007
EEGFp1,1008.7265625,1009.3359375
EEGFp1,1012.6875,1013.296875
EEGFp1,1018.8828125,1019.6953125
EEGFp1,1025.078125,1027.2109375
EEGFp1,1055.140625,1057.171875
EEGFp1,1063.875,1064.7890625
EEGFp1,1100.9453125,1102.9765625
EEGFp1,1105.8203125,1107.140625
EEGFp1,1121.6640625,1122.375
EEGFp1,1133.8515625,1134.4609375
EEGFp1,1144.6171875,1145.6328125
EEGFp1,1156.1953125,1157.0078125
EEGFp1,1159.0390625,1159.6484375
EEGFp1,1176,1176.609375
EEGFp1,1180.9765625,1182.09375
EEGFp1,1185.34375,1186.2578125
EEGFp1,1242.21875,1243.03125
EEGFp1,1251.8671875,1253.59375
EEGFp1,1314.0234375,1315.4453125
EEGFp1,1319.609375,1320.21875
EEGFp1,1324.5859375,1325.1953125
EEGFp1,1330.6796875,1331.390625
EEGFp1,1371.1015625,1371.9140625
EEGFp1,1394.96875,1395.578125
EEGFp1,1400.046875,1400.7578125
EEGFp1,1402.7890625,1403.3984375
EEGFp1,1407.96875,1408.578125
EEGFp1,1421.375,1422.0859375
EEGFp1,1486.375,1486.984375
