Canale,isi_min(s)
EEGFp1,0.9140625
EEGFp1,1.015625
EEGFp1,2.9453125
EEGFp1,3.1484375
EEGFp2,2.03125
EEGFp2,2.7421875
EEGFp2,3.046875
EEGFp2,3.25
EEGFp2,3.25
EEGFp2,3.25
EEGFp2,3.3515625
EEGF7,51.6953125
EEGF3,1.828125
EEGF3,2.9453125
EEGF3,3.3515625
EEGF3,3.65625
EEGFz,1.015625
EEGFz,1.1171875
EEGFz,1.21875
EEGFz,1.21875
EEGFz,1.3203125
EEGFz,1.5234375
EEGFz,1.828125
EEGFz,1.828125
EEGFz,1.828125
EEGFz,1.828125
EEGFz,2.1328125
EEGFz,2.1328125
EEGF4,1.5234375
EEGF4,2.7421875
EEGF4,3.3515625
EEGF4,3.9609375
EEGF4,4.265625
EEGF8,2.03125
EEGF8,2.234375
EEGF8,3.5546875
EEGT3,1.3203125
EEGT3,2.234375
EEGT3,2.9453125
EEGT3,5.1796875
EEGC3,8.125
EEGCz,5.5859375
EEGCz,9.34375
EEGC4,3.1484375
EEGC4,5.28125
EEGT4,0.9140625
EEGT4,0.9140625
EEGT4,1.015625
EEGT4,1.015625
EEGT4,1.015625
EEGT4,1.21875
EEGT4,1.21875
EEGT4,1.421875
EEGT5,0.9140625
EEGT5,1.3203125
EEGT5,1.9296875
EEGT5,2.3359375
EEGT5,2.3359375
EEGT5,2.4375
EEGT5,2.5390625
EEGP3,2.84375
EEGP3,3.1484375
EEGP3,3.1484375
EEGPz,1.9296875
EEGPz,2.4375
EEGPz,2.5390625
EEGPz,5.6875
EEGP4,0.9140625
EEGP4,1.015625
EEGP4,1.21875
EEGP4,1.625
EEGP4,1.7265625
EEGP4,1.828125
EEGP4,2.1328125
EEGT6,0.9140625
EEGT6,0.9140625
EEGT6,0.9140625
EEGT6,0.9140625
EEGT6,0.9140625
EEGT6,0.9140625
EEGT6,0.9140625
EEGT6,1.015625
EEGT6,1.015625
EEGT6,1.015625
EEGT6,1.015625
EEGT6,1.015625
EEGT6,1.1171875
EEGT6,1.1171875
EEGO1,1.015625
EEGO1,1.21875
EEGO1,1.5234375
EEGO1,1.828125
EEGO1,1.828125
EEGO2,0.9140625
EEGO2,0.9140625
EEGO2,0.9140625
EEGO2,0.9140625
EEGO2,1.015625
EEGO2,1.015625
EEGO2,1.015625
EEGO2,1.015625
EEGO2,1.1171875
EEGO2,1.1171875
EEGO2,1.21875
EEGO2,1.21875
EEGO2,1.21875
EEGO2,1.21875
