Canale,Start_Time(s),End_Time(s)
EEGFp1,11.078125,12.09375
EEGFp1,37.28125,38.296875
EEGFp1,47.640625,48.25
EEGFp1,79.6328125,80.34375
EEGFp1,92.6328125,94.4609375
EEGFp1,124.828125,125.4375
EEGFp1,134.78125,135.4921875
EEGFp1,140.3671875,141.7890625
EEGFp1,142.8046875,143.6171875
EEGFp1,149.40625,150.015625
EEGFp1,157.8359375,158.6484375
EEGFp1,161.0859375,162.5078125
EEGFp1,795.2421875,796.0546875
EEGFp1,801.9453125,802.65625
EEGFp1,835.96875,836.6796875
EEGFp1,876.59375,877.40625
EEGFp1,879.7421875,880.453125
EEGFp1,905.1328125,905.9453125
EEGFp1,958.9609375,960.6875
EEGFp1,964.6484375,965.5625
EEGFp1,974.703125,976.328125
EEGFp1,978.96875,980.2890625
EEGFp1,1002.53125,1003.546875
EEGFp1,1007.609375,1009.7421875
EEGFp1,1023.859375,1024.46875
EEGFp1,1036.65625,1037.3671875
EEGFp1,1062.453125,1063.875
EEGFp1,1072.203125,1073.3203125
EEGFp1,1085.7109375,1086.625
EEGFp1,1101.5546875,1103.5859375
EEGFp1,1108.5625,1109.375
EEGFp1,1119.328125,1120.0390625
EEGFp1,1141.9765625,1143.1953125
EEGFp1,1147.765625,1148.4765625
EEGFp1,1174.0703125,1174.8828125
EEGFp1,1194.7890625,1195.3984375
EEGFp1,1223.2265625,1224.34375
EEGFp1,1240.2890625,1240.8984375
EEGFp1,1245.875,1247.3984375
EEGFp1,1259.28125,1259.890625
EEGFp1,1265.6796875,1266.796875
EEGFp1,1346.9296875,1347.640625
EEGFp1,1353.4296875,1354.140625
EEGFp1,1369.171875,1369.8828125
EEGFp1,1375.46875,1376.078125
EEGFp1,1403.09375,1403.703125
EEGFp1,1407.5625,1409.1875
EEGFp1,1516.5390625,1517.1484375
EEGFp1,1549.34375,1550.2578125
EEGFp1,1582.65625,1583.265625
EEGFp1,1610.078125,1610.9921875
EEGFp1,1639.125,1640.6484375
EEGFp1,1693.2578125,1694.0703125
EEGFp1,1729.921875,1730.6328125
EEGFp1,1881.859375,1882.671875
EEGFp1,1914.0546875,1914.765625
EEGFp1,1952.140625,1953.2578125
EEGFp1,2151.7109375,2152.3203125
EEGFp1,2394.6484375,2395.6640625
EEGFp1,2398.3046875,2398.9140625
EEGFp1,2553.0859375,2553.796875
EEGFp1,2614.6328125,2615.546875
EEGFp1,2952.9375,2953.546875
EEGFp1,3295.40625,3296.3203125
EEGFp1,3314.09375,3315.109375
EEGFp1,3349.1328125,3349.7421875
EEGFp1,3386.609375,3387.21875
EEGFp1,3458.2109375,3459.0234375
EEGFp1,3559.875,3560.5859375
EEGFp1,3616.4453125,3617.0546875
EEGFp1,3633.5078125,3634.21875
EEGFp1,3647.421875,3648.03125
EEGFp1,3671.796875,3672.8125
EEGFp1,3704.90625,3706.9375
EEGFp1,3742.5859375,3743.5
EEGFp2,10.7734375,11.7890625
EEGFp2,37.3828125,38.296875
EEGFp2,93.75,94.359375
EEGFp2,96.59375,97.3046875
EEGFp2,134.8828125,135.4921875
EEGFp2,142.8046875,143.515625
EEGFp2,155.90625,156.6171875
EEGFp2,656.203125,656.8125
EEGFp2,795.34375,796.0546875
EEGFp2,856.078125,856.7890625
EEGFp2,868.671875,869.3828125
EEGFp2,958.9609375,959.7734375
EEGFp2,974.3984375,976.328125
EEGFp2,979.0703125,980.0859375
EEGFp2,1001.0078125,1003.546875
EEGFp2,1007.609375,1009.84375
EEGFp2,1028.2265625,1029.4453125
EEGFp2,1036.65625,1037.265625
EEGFp2,1054.125,1054.734375
EEGFp2,1072.203125,1073.421875
EEGFp2,1086.015625,1086.625
EEGFp2,1102.5703125,1103.28125
EEGFp2,1130.8046875,1131.6171875
EEGFp2,1141.875,1142.7890625
EEGFp2,1147.765625,1149.2890625
EEGFp2,1153.046875,1153.65625
EEGFp2,1172.2421875,1173.0546875
EEGFp2,1174.0703125,1174.984375
EEGFp2,1186.765625,1187.4765625
EEGFp2,1194.6875,1196.8203125
EEGFp2,1223.2265625,1224.0390625
EEGFp2,1232.1640625,1232.7734375
EEGFp2,1251.6640625,1253.1875
EEGFp2,1258.7734375,1261.109375
EEGFp2,1265.2734375,1266.6953125
EEGFp2,1316.4609375,1317.375
EEGFp2,1341.2421875,1341.8515625
EEGFp2,1374.9609375,1376.1796875
EEGFp2,1402.9921875,1403.703125
EEGFp2,1407.5625,1409.1875
EEGFp2,1485.359375,1486.375
EEGFp2,1549.4453125,1550.2578125
EEGFp2,1624.1953125,1625.0078125
EEGFp2,1635.265625,1636.078125
EEGFp2,1658.21875,1659.03125
EEGFp2,1691.53125,1692.140625
EEGFp2,1729.8203125,1730.4296875
EEGFp2,1735.1015625,1735.9140625
