Canale,isi_min(s)
EEGFp1,1.015625
EEGFp1,2.3359375
EEGFp1,2.4375
EEGFp1,2.640625
EEGFp1,2.640625
EEGFp1,3.859375
EEGFp1,3.9609375
EEGFp2,1.015625
EEGFp2,2.234375
EEGFp2,2.3359375
EEGFp2,2.7421875
EEGFp2,3.7578125
EEGFp2,3.859375
EEGF7,2.640625
EEGF7,3.859375
EEGF7,3.9609375
EEGF7,4.46875
EEGF3,1.21875
EEGF3,1.3203125
EEGF3,1.7265625
EEGF3,2.03125
EEGF3,2.234375
EEGF3,2.5390625
EEGF3,2.7421875
EEGF3,2.84375
EEGF3,3.1484375
EEGF3,3.5546875
EEGFz,1.7265625
EEGFz,1.9296875
EEGFz,1.9296875
EEGFz,2.1328125
EEGFz,2.9453125
EEGFz,3.046875
EEGFz,3.046875
EEGF4,1.21875
EEGF4,1.9296875
EEGF4,2.03125
EEGF4,2.03125
EEGF4,2.4375
EEGF4,2.7421875
EEGF4,3.1484375
EEGF4,3.1484375
EEGF4,3.1484375
EEGF4,3.25
EEGF4,3.25
EEGF4,3.3515625
EEGF8,2.84375
EEGF8,4.265625
EEGF8,6.1953125
EEGF8,8.0234375
EEGT3,3.859375
EEGC3,0.9140625
EEGC3,0.9140625
EEGC3,1.1171875
EEGC3,1.1171875
EEGC3,1.3203125
EEGC3,1.3203125
EEGC3,1.3203125
EEGC3,1.3203125
EEGC3,1.625
EEGC3,1.625
EEGC3,1.7265625
EEGC3,1.828125
EEGCz,1.015625
EEGCz,1.21875
EEGC4,0.9140625
EEGC4,0.9140625
EEGC4,0.9140625
EEGC4,0.9140625
EEGC4,0.9140625
EEGC4,1.015625
EEGC4,1.015625
EEGC4,1.015625
EEGC4,1.015625
EEGC4,1.015625
EEGC4,1.1171875
EEGC4,1.1171875
EEGC4,1.1171875
EEGC4,1.21875
EEGT4,0.9140625
EEGT4,1.21875
EEGT5,1.1171875
EEGT5,1.21875
EEGT5,1.625
EEGT5,4.0625
EEGP3,3.65625
EEGP3,5.28125
EEGP3,5.484375
EEGPz,2.7421875
EEGPz,3.453125
EEGPz,4.265625
EEGP4,0.9140625
EEGP4,1.015625
EEGP4,1.421875
EEGP4,1.5234375
EEGP4,1.625
EEGP4,1.625
EEGP4,1.625
EEGT6,0.9140625
EEGT6,1.015625
EEGT6,1.1171875
EEGT6,1.21875
EEGT6,1.5234375
EEGT6,1.7265625
EEGO1,1.1171875
EEGO1,1.21875
EEGO1,1.3203125
EEGO1,1.625
EEGO1,1.625
EEGO1,1.828125
EEGO2,0.9140625
EEGO2,0.9140625
EEGO2,1.1171875
EEGO2,1.21875
EEGO2,1.3203125
EEGO2,1.3203125
EEGO2,1.421875
EEGO2,1.7265625
EEGO2,1.7265625
EEGO2,1.7265625
