Canale,Start_Time(s),End_Time(s)
EEGFp1,12.8046875,13.4140625
EEGFp1,19,19.8125
EEGFp1,22.046875,23.9765625
EEGFp1,32.203125,33.3203125
EEGFp1,35.3515625,36.0625
EEGFp1,40.53125,43.4765625
EEGFp1,45.9140625,47.03125
EEGFp1,51.3984375,52.2109375
EEGFp1,67.546875,71.8125
EEGFp1,74.046875,75.9765625
EEGFp1,79.8359375,81.4609375
EEGFp1,94.4609375,95.2734375
EEGFp1,106.8515625,107.4609375
EEGFp1,113.859375,114.671875
EEGFp1,122.0859375,123.1015625
EEGFp1,127.0625,130.109375
EEGFp1,134.578125,135.4921875
EEGFp1,137.9296875,138.7421875
EEGFp1,143.515625,144.6328125
EEGFp1,150.421875,152.3515625
EEGFp1,156.3125,157.4296875
EEGFp1,162.9140625,165.046875
EEGFp1,166.875,167.5859375
EEGFp1,172.2578125,173.578125
EEGFp1,175.609375,177.3359375
EEGFp1,182.8203125,183.6328125
EEGFp1,192.1640625,192.9765625
EEGFp1,198.4609375,199.2734375
EEGFp1,210.75,211.6640625
EEGFp1,231.5703125,232.890625
EEGFp1,243.046875,244.3671875
EEGFp1,258.9921875,259.90625
EEGFp1,269.859375,270.5703125
EEGFp1,280.421875,281.03125
EEGFp1,287.328125,290.375
EEGFp1,293.5234375,294.1328125
EEGFp1,295.1484375,297.28125
EEGFp1,323.6875,325.8203125
EEGFp1,386.3515625,386.9609375
EEGFp1,390.921875,391.53125
EEGFp1,533.921875,534.53125
EEGFp1,550.8828125,551.4921875
EEGFp1,558.3984375,561.140625
EEGFp1,573.6328125,575.15625
EEGFp1,628.2734375,628.984375
EEGFp1,640.8671875,641.78125
EEGFp1,646.1484375,647.265625
EEGFp1,684.3359375,685.1484375
EEGFp1,695.9140625,696.625
EEGFp1,708.8125,709.625
EEGFp1,724.65625,725.46875
EEGFp1,727.09375,727.703125
EEGFp1,729.6328125,730.75
EEGFp1,739.078125,739.9921875
EEGFp1,744.359375,746.2890625
EEGFp1,749.1328125,749.7421875
EEGFp1,752.484375,754.0078125
EEGFp1,795.0390625,796.0546875
EEGFp1,800.828125,801.640625
EEGFp1,809.6640625,810.2734375
EEGFp1,838.5078125,839.421875
EEGFp1,841.25,845.109375
EEGFp1,846.0234375,847.34375
EEGFp1,849.78125,850.390625
EEGFp1,860.2421875,860.953125
EEGFp1,864.9140625,865.5234375
EEGFp1,869.7890625,871.0078125
EEGFp1,877.3046875,877.9140625
EEGFp1,884.8203125,885.4296875
EEGFp1,888.78125,889.4921875
EEGFp1,895.078125,895.7890625
EEGFp1,899.6484375,900.2578125
EEGFp1,903.40625,904.21875
EEGFp1,905.5390625,908.1796875
EEGFp1,915.4921875,916.40625
EEGFp1,922.6015625,923.2109375
EEGFp1,935.6015625,936.3125
EEGFp1,937.2265625,938.140625
EEGFp1,953.0703125,954.1875
EEGFp1,961.1953125,962.921875
EEGFp1,1326.2109375,1326.8203125
EEGFp1,1356.984375,1358.1015625
EEGFp1,1359.3203125,1360.3359375
EEGFp1,1394.765625,1396.390625
EEGFp1,1412.640625,1413.3515625
EEGFp1,1420.15625,1422.390625
EEGFp1,1424.7265625,1425.4375
EEGFp1,1436.609375,1437.3203125
EEGFp1,1438.5390625,1441.1796875
EEGFp1,1444.0234375,1444.734375
EEGFp1,1448.8984375,1449.609375
EEGFp1,1450.5234375,1451.5390625
EEGFp1,1453.9765625,1454.5859375
EEGFp1,1460.6796875,1463.21875
EEGFp1,1469.515625,1470.2265625
EEGFp1,1472.8671875,1478.9609375
EEGFp1,1479.875,1482.4140625
EEGFp1,1484.0390625,1486.375
EEGFp1,1488.203125,1489.9296875
EEGFp1,1495.2109375,1495.921875
EEGFp1,1513.6953125,1515.015625
EEGFp1,1516.1328125,1516.7421875
EEGFp1,1526.1875,1526.8984375
EEGFp1,1528.828125,1530.046875
EEGFp1,1531.5703125,1532.5859375
EEGFp1,1534.8203125,1535.9375
EEGFp1,1537.96875,1538.578125
EEGFp1,1539.59375,1543.1484375
EEGFp1,1546.1953125,1547.4140625
EEGFp1,1553.3046875,1554.7265625
EEGFp1,1560.0078125,1560.8203125
EEGFp1,1566,1566.8125
EEGFp1,1574.6328125,1576.8671875
EEGFp1,1579.5078125,1580.7265625
EEGFp1,1584.28125,1584.890625
EEGFp1,1598.90625,1599.6171875
