Canale,isi_min(s)
EEGFp1,0.9140625
EEGFp1,1.015625
EEGFp1,1.1171875
EEGFp1,1.1171875
EEGFp1,1.1171875
EEGFp1,1.21875
EEGFp1,1.3203125
EEGFp1,1.421875
EEGFp1,1.625
EEGFp1,1.828125
EEGFp1,1.9296875
EEGFp1,2.03125
EEGFp1,2.1328125
EEGFp1,2.1328125
EEGFp1,2.1328125
EEGFp2,1.015625
EEGFp2,1.1171875
EEGFp2,1.21875
EEGFp2,1.21875
EEGFp2,1.21875
EEGFp2,1.21875
EEGFp2,1.3203125
EEGFp2,1.625
EEGFp2,1.7265625
EEGFp2,1.7265625
EEGFp2,1.7265625
EEGFp2,1.828125
EEGFp2,1.828125
EEGFp2,2.1328125
EEGFp2,2.234375
EEGFp2,2.234375
EEGF7,1.9296875
EEGF7,2.03125
EEGF7,2.234375
EEGF7,2.4375
EEGF7,2.5390625
EEGF7,3.046875
EEGF7,3.1484375
EEGF7,3.25
EEGF3,2.234375
EEGF3,4.3671875
EEGF3,4.7734375
EEGFz,0.9140625
EEGFz,1.015625
EEGFz,1.21875
EEGFz,1.21875
EEGFz,1.3203125
EEGFz,1.421875
EEGFz,1.625
EEGFz,1.7265625
EEGFz,1.7265625
EEGFz,1.828125
EEGFz,1.9296875
EEGFz,2.03125
EEGFz,2.1328125
EEGFz,2.3359375
EEGF4,1.5234375
EEGF4,2.03125
EEGF4,2.640625
EEGF4,3.1484375
EEGF4,3.1484375
EEGF4,3.25
EEGF8,1.1171875
EEGF8,1.3203125
EEGF8,1.828125
EEGF8,2.03125
EEGF8,2.1328125
EEGF8,2.1328125
EEGF8,2.5390625
EEGF8,2.7421875
EEGF8,2.84375
EEGT3,1.421875
EEGT3,1.9296875
EEGT3,2.03125
EEGT3,2.234375
EEGT3,2.234375
EEGT3,2.234375
EEGT3,2.234375
EEGT3,2.3359375
EEGC3,2.3359375
EEGC3,2.7421875
EEGC3,2.84375
EEGC3,3.25
EEGC3,3.3515625
EEGC3,3.65625
EEGCz,1.015625
EEGCz,1.1171875
EEGCz,1.421875
EEGCz,1.421875
EEGCz,1.7265625
EEGCz,1.9296875
EEGCz,2.03125
EEGCz,2.234375
EEGCz,2.234375
EEGC4,1.3203125
EEGC4,2.1328125
EEGC4,2.4375
EEGC4,2.84375
EEGC4,3.5546875
EEGC4,3.7578125
EEGC4,3.7578125
EEGT4,1.015625
EEGT4,1.3203125
EEGT4,1.421875
EEGT4,1.421875
EEGT4,1.9296875
EEGT4,1.9296875
EEGT4,2.03125
EEGT4,2.03125
EEGT4,2.1328125
EEGT5,2.03125
EEGT5,2.1328125
EEGT5,2.3359375
EEGT5,2.5390625
EEGT5,2.5390625
EEGT5,3.5546875
EEGT5,3.859375
EEGP3,0.9140625
EEGP3,1.1171875
EEGP3,1.21875
EEGP3,1.21875
EEGP3,1.21875
EEGP3,1.3203125
EEGP3,1.421875
EEGP3,1.5234375
EEGP3,1.5234375
EEGP3,1.828125
EEGPz,1.015625
EEGPz,1.1171875
EEGPz,1.21875
EEGPz,1.421875
EEGPz,1.7265625
EEGPz,1.7265625
EEGPz,2.03125
EEGPz,2.03125
EEGPz,2.1328125
EEGP4,0.9140625
EEGP4,1.015625
EEGP4,1.421875
EEGP4,1.421875
EEGP4,1.421875
EEGP4,1.9296875
EEGP4,2.1328125
EEGP4,2.234375
EEGP4,2.3359375
EEGP4,2.3359375
EEGP4,2.4375
EEGT6,0.9140625
EEGT6,1.015625
EEGT6,1.015625
EEGT6,1.015625
EEGT6,1.421875
EEGT6,1.5234375
EEGT6,1.828125
EEGT6,2.03125
EEGT6,2.03125
EEGT6,2.234375
EEGO1,0.9140625
EEGO1,1.015625
EEGO1,1.015625
EEGO1,1.015625
EEGO1,1.421875
EEGO1,1.421875
EEGO1,1.7265625
EEGO1,2.03125
EEGO2,0.9140625
EEGO2,0.9140625
EEGO2,1.015625
EEGO2,1.421875
EEGO2,1.5234375
EEGO2,1.625
EEGO2,1.625
EEGO2,1.7265625
EEGO2,1.828125
