Canale,Start_Time(s),End_Time(s)
EEGFp1,13.4140625,14.4296875
EEGFp1,22.5546875,23.265625
EEGFp1,33.5234375,34.1328125
EEGFp1,44.8984375,46.3203125
EEGFp1,111.9296875,113.453125
EEGFp1,199.8828125,200.8984375
EEGFp1,230.9609375,232.890625
EEGFp1,252.8984375,253.7109375
EEGFp1,289.359375,290.171875
EEGFp1,292.9140625,294.234375
EEGFp1,300.2265625,302.359375
EEGFp1,306.7265625,307.5390625
EEGFp1,321.9609375,322.5703125
EEGFp1,361.9765625,362.5859375
EEGFp1,368.171875,368.8828125
EEGFp1,384.828125,385.5390625
EEGFp1,396.9140625,397.828125
EEGFp1,401.6875,402.3984375
EEGFp1,439.5703125,440.3828125
EEGFp1,448,448.7109375
EEGFp1,471.765625,472.984375
EEGFp1,488.828125,489.5390625
EEGFp1,493.09375,493.703125
EEGFp1,524.78125,525.6953125
EEGFp1,555.859375,556.46875
EEGFp1,566.9296875,567.640625
EEGFp1,573.2265625,573.8359375
EEGFp1,584.90625,585.71875
EEGFp1,596.484375,597.09375
EEGFp1,608.875,609.890625
EEGFp1,613.6484375,615.0703125
EEGFp1,638.0234375,638.6328125
EEGFp1,675.90625,676.71875
EEGFp1,684.7421875,685.5546875
EEGFp1,711.3515625,711.9609375
EEGFp1,718.765625,719.4765625
EEGFp1,783.8671875,784.578125
EEGFp1,809.6640625,810.2734375
EEGFp1,852.3203125,853.03125
EEGFp1,881.671875,882.6875
EEGFp1,965.4609375,966.0703125
EEGFp1,1037.1640625,1037.7734375
EEGFp1,1068.8515625,1069.4609375
EEGFp1,1118.921875,1119.53125
EEGFp1,1172.546875,1173.15625
EEGFp1,1178.4375,1181.1796875
EEGFp1,1256.9453125,1257.5546875
EEGFp1,1374.7578125,1375.46875
EEGFp1,1502.7265625,1503.3359375
EEGFp1,1572.8046875,1573.515625
EEGFp1,1619.421875,1620.03125
EEGFp1,1692.8515625,1693.4609375
EEGFp1,1706.4609375,1707.0703125
EEGFp1,1798.578125,1799.59375
EEGFp1,1967.6796875,1968.4921875
EEGFp1,1972.453125,1973.265625
EEGFp1,2578.375,2579.0859375
EEGFp1,2662.1640625,2662.875
EEGFp1,3214.2578125,3214.96875
EEGFp1,3219.4375,3220.046875
EEGFp1,3221.265625,3221.9765625
EEGFp1,3253.2578125,3254.0703125
EEGFp1,3263.0078125,3263.71875
EEGFp1,3266.359375,3266.96875
EEGFp1,3293.0703125,3293.984375
EEGFp1,3296.015625,3296.828125
EEGFp1,3309.3203125,3309.9296875
EEGFp1,3330.8515625,3332.0703125
EEGFp1,3347.609375,3348.3203125
EEGFp1,3351.3671875,3352.1796875
EEGFp1,3370.6640625,3371.375
EEGFp1,3374.015625,3375.4375
EEGFp1,3394.9375,3395.6484375
EEGFp1,3398.2890625,3399.1015625
EEGFp1,3447.953125,3448.8671875
EEGFp1,3450.0859375,3450.6953125
EEGFp1,3452.015625,3453.9453125
EEGFp1,3455.671875,3456.3828125
EEGFp1,3461.0546875,3462.2734375
EEGFp1,3464,3464.8125
EEGFp1,3502.796875,3503.40625
EEGFp1,3558.9609375,3559.7734375
EEGFp2,13.4140625,14.4296875
EEGFp2,20.828125,21.4375
EEGFp2,22.3515625,23.265625
EEGFp2,26.0078125,26.6171875
EEGFp2,33.5234375,34.1328125
EEGFp2,47.234375,47.84375
EEGFp2,135.8984375,136.609375
EEGFp2,199.78125,200.4921875
EEGFp2,231.46875,232.28125
EEGFp2,252.8984375,253.609375
EEGFp2,283.3671875,284.484375
EEGFp2,289.5625,290.171875
EEGFp2,299.2109375,302.2578125
EEGFp2,306.5234375,307.5390625
EEGFp2,316.578125,317.4921875
EEGFp2,329.8828125,330.796875
EEGFp2,350.5,352.125
EEGFp2,362.28125,363.1953125
EEGFp2,365.328125,365.9375
EEGFp2,384.21875,385.4375
EEGFp2,396.9140625,397.9296875
EEGFp2,407.0703125,407.8828125
EEGFp2,411.7421875,412.3515625
EEGFp2,418.8515625,419.5625
EEGFp2,434.1875,435.1015625
EEGFp2,460.8984375,461.7109375
EEGFp2,471.8671875,472.984375
EEGFp2,488.7265625,489.4375
EEGFp2,492.890625,493.703125
EEGFp2,500.40625,501.015625
EEGFp2,540.5234375,541.3359375
EEGFp2,554.7421875,556.46875
EEGFp2,593.5390625,594.1484375
EEGFp2,608.875,609.7890625
EEGFp2,614.0546875,615.0703125
EEGFp2,618.5234375,619.1328125
EEGFp2,661.9921875,662.6015625
EEGFp2,675.8046875,676.921875
EEGFp2,684.9453125,685.5546875
EEGFp2,719.4765625,720.2890625
EEGFp2,729.9375,730.546875
EEGFp2,767.2109375,767.8203125
EEGFp2,771.78125,772.4921875
EEGFp2,805.3984375,806.0078125
EEGFp2,834.4453125,835.0546875
EEGFp2,881.671875,882.5859375
EEGFp2,895.9921875,896.6015625
EEGFp2,964.75,965.5625
EEGFp2,1024.7734375,1025.3828125
EEGFp2,1068.8515625,1070.171875
EEGFp2,1172.546875,1173.15625
EEGFp2,1178.4375,1180.46875
EEGFp2,1256.9453125,1257.5546875
EEGFp2,1331.59375,1332.3046875
EEGFp2,1503.3359375,1503.9453125
EEGFp2,1519.3828125,1519.9921875
EEGFp2,1692.75,1693.6640625
EEGFp2,1706.4609375,1707.0703125
EEGFp2,1967.8828125,1968.4921875
EEGFp2,1972.453125,1973.265625
EEGFp2,2088.9453125,2089.5546875
EEGFp2,2447.4609375,2448.0703125
EEGFp2,2578.375,2578.984375
EEGFp2,2662.265625,2662.9765625
EEGFp2,3174.6484375,3175.359375
EEGFp2,3214.4609375,3215.171875
EEGFp2,3221.265625,3221.9765625
EEGFp2,3235.1796875,3235.9921875
EEGFp2,3253.2578125,3253.8671875
EEGFp2,3263.109375,3263.71875
EEGFp2,3266.2578125,3266.8671875
EEGFp2,3293.171875,3293.8828125
EEGFp2,3296.21875,3296.828125
EEGFp2,3346.390625,3348.3203125
EEGFp2,3351.46875,3352.1796875
EEGFp2,3398.2890625,3399.203125
EEGFp2,3405.8046875,3406.8203125
EEGFp2,3447.953125,3448.96875
EEGFp2,3455.671875,3456.28125
EEGFp2,3461.0546875,3462.2734375
EEGF7,13.4140625,14.4296875
EEGF7,25.90625,26.6171875
EEGF7,30.78125,31.4921875
EEGF7,33.625,34.4375
EEGF7,45.1015625,47.7421875
EEGF7,86.3359375,86.9453125
EEGF7,112.7421875,113.3515625
EEGF7,136,136.609375
EEGF7,179.875,180.484375
EEGF7,227.40625,228.21875
EEGF7,278.4921875,279.1015625
EEGF7,284.5859375,285.1953125
EEGF7,288.546875,289.96875
EEGF7,292.9140625,294.234375
